"scenario","n","normalizer","true_nABCD","mean_est","bias","rmse","sd_est","mean_ci_width","coverage_pct","n_valid"
"N1",50,"IQR",0.00293769614084855,0.186467372132601,0.183529675991752,0.197201468248986,0.0721512140555314,0.327732868770964,0,10000
"N1",50,"Q95Q5",0.00120368278113673,0.0772830350601829,0.0760793522790462,0.0814423011726722,0.0290665626383203,0.129054394428951,0,10000
"N1",50,"SD",0.00395754202793215,0.246618858632557,0.242661316604625,0.259368194576408,0.0915870329249481,0.40313977314742,0,10000
"N1",50,"MAD",0.00587533412698525,0.370802446918204,0.364927112791218,0.392307969938552,0.143999372252431,0.657744467755883,0,10000
"N1",50,"Range",0.000402656386512518,0.0493972434449296,0.0489945870584171,0.0524636518861979,0.0187616739192476,0.0901136044108129,0,10000
"N1",50,"SMD",-0.000532240813232521,0.000669375243632241,0.00120161605686476,0.205106667543647,0.205113403610165,NA,NA,10000
"N1",100,"IQR",0.00293769614084855,0.132534127081665,0.129596430940817,0.138475200053301,0.0487891807229778,0.223998935797723,0,10000
"N1",100,"Q95Q5",0.00120368278113673,0.0547130851450673,0.0535094023639306,0.0570695125120956,0.0198421896037721,0.0900253406748649,0,10000
"N1",100,"SD",0.00395754202793215,0.177071034185152,0.17311349215722,0.184475285241635,0.063743674381989,0.288194448327,0,10000
"N1",100,"MAD",0.00587533412698525,0.264248771984093,0.258373437857107,0.276061469514641,0.0972319235908621,0.448398202333329,0,10000
"N1",100,"Range",0.000402656386512518,0.0324010871241256,0.0319984307376131,0.0341413816282824,0.0119058197816306,0.0575523387968245,0,10000
"N1",100,"SMD",-0.000532240813232521,-0.00130555421567333,-0.000773313402440809,0.143455104595545,0.143460193446164,NA,NA,10000
"N1",200,"IQR",0.00293769614084855,0.0945035232879586,0.09156582714711,0.097553487306474,0.0336525695016496,0.156055707816517,0,10000
"N1",200,"Q95Q5",0.00120368278113673,0.0387955933480093,0.0375919105668725,0.0400077944235984,0.0136927215569268,0.0632442768131417,0,10000
"N1",200,"SD",0.00395754202793215,0.126713016596717,0.122755474568785,0.130594136787163,0.0445659134164261,0.205301698049808,0,10000
"N1",200,"MAD",0.00587533412698525,0.188693788272023,0.182818454145038,0.194758558106958,0.0671472982024266,0.312199207589447,0,10000
"N1",200,"Range",0.000402656386512518,0.0214720950426922,0.0210694386561797,0.0224315986638413,0.00769813610291945,0.0373742152057219,0,10000
"N1",200,"SMD",-0.000532240813232521,0.00122596838943996,0.00175820920267248,0.101126467247958,0.101116237705943,NA,NA,10000
"N2",50,"IQR",0.357981671379795,0.382281485429667,0.024299814049872,0.133892170251231,0.131675229744775,0.457873519533696,0.9431,10000
"N2",50,"Q95Q5",0.146498928730178,0.158567364705241,0.0120684359750635,0.0547270157859862,0.0533824323009285,0.180453310216929,0.9388,10000
"N2",50,"SD",0.482582553756457,0.505784509852199,0.0232019560957421,0.169786159816214,0.16820177907001,0.560005322690161,0.9446,10000
"N2",50,"MAD",0.71596105627486,0.759611111788375,0.043650055513515,0.265350765433081,0.261749026024647,0.919958742833933,0.9454,10000
"N2",50,"Range",0.0503909730085726,0.101627974552747,0.0512370015441748,0.0623738895570049,0.0355724375192759,0.129372145396355,0.4374,10000
"N2",50,"SMD",0.499320658379098,0.506715442202773,0.00739478382367459,0.207812979706184,0.207691755476941,NA,NA,10000
"N2",100,"IQR",0.357981671379795,0.368530968245254,0.0105492968654595,0.0980651134786892,0.0975009203042649,0.357108523910227,0.9428,10000
"N2",100,"Q95Q5",0.146498928730178,0.151935087264871,0.0054361585346927,0.0396797818620303,0.0393076045795438,0.142960789087161,0.9396,10000
"N2",100,"SD",0.482582553756457,0.492378565420644,0.00979601166418742,0.126482417364596,0.126108803819983,0.454707150279468,0.9402,10000
"N2",100,"MAD",0.71596105627486,0.73492304157848,0.0189619853036193,0.19542427251651,0.194511883671002,0.715304749186556,0.9427,10000
"N2",100,"Range",0.0503909730085726,0.0904526399667213,0.0400616669581487,0.0470352009738084,0.0246461703830916,0.0945368849642811,0.4851,10000
"N2",100,"SMD",0.499320658379098,0.503828492443073,0.00450783406397476,0.144012400659265,0.143949029548681,NA,NA,10000
"N2",200,"IQR",0.357981671379795,0.361518964149678,0.00353729276988335,0.0706776123159887,0.0705925688272264,0.268101879438295,0.9458,10000
"N2",200,"Q95Q5",0.146498928730178,0.148760933557952,0.00226200482777403,0.0286333761815909,0.0285453157141508,0.107925233252217,0.943,10000
"N2",200,"SD",0.482582553756457,0.485613107653903,0.00303055389744594,0.0923608173092515,0.0923157003762697,0.347285008787371,0.9424,10000
"N2",200,"MAD",0.71596105627486,0.721573280149127,0.00561222387426685,0.141046558841155,0.140941907061857,0.536527430013067,0.945,10000
"N2",200,"Range",0.0503909730085726,0.0825664003437339,0.0321754273351613,0.0364445410474933,0.0171165342735244,0.0667711671894358,0.3974,10000
"N2",200,"SMD",0.499320658379098,0.499476953126135,0.000156294747036878,0.102476240645453,0.102481245646937,NA,NA,10000
"N3",50,"IQR",0.245223005132313,0.300261532135196,0.0550385270028831,0.106211349749474,0.0908429226996718,0.37234411836383,0.8538,10000
"N3",50,"Q95Q5",0.0957401794329387,0.117808956554966,0.0220687771220274,0.0386220100221551,0.0316974637378209,0.129085964346345,0.7986,10000
"N3",50,"SD",0.313990797518647,0.374934028624506,0.0609432311058585,0.116585198402451,0.0993932541514452,0.400428465185162,0.8255,10000
"N3",50,"MAD",0.490447259302924,0.596168556660461,0.105721297357538,0.209201723390159,0.18053151391711,0.748316562756254,0.8572,10000
"N3",50,"Range",0.0288946760102745,0.0706756159719716,0.0417809399616971,0.0460943817911065,0.0194700538499781,0.0890074351923989,2e-04,10000
"N3",50,"SMD",-0.00152451848689003,0.000820378034982878,0.00234489652187291,0.204373743710347,0.204370509880989,NA,NA,10000
"N3",100,"IQR",0.245223005132313,0.271562977268626,0.0263399721363129,0.0708443274615808,0.0657689680400845,0.26175510308187,0.9094,10000
"N3",100,"Q95Q5",0.0957401794329387,0.106245316844866,0.0105051374119272,0.0252506284667841,0.0229627754165209,0.0919909917992524,0.8928,10000
"N3",100,"SD",0.313990797518647,0.343417737559246,0.0294269400405991,0.0794807217571637,0.0738362073066974,0.29296217114833,0.9019,10000
"N3",100,"MAD",0.490447259302924,0.541439688546628,0.0509924292437047,0.140647952828706,0.131085228490645,0.524726547320776,0.9109,10000
"N3",100,"Range",0.0288946760102745,0.0583880376037106,0.029493361593436,0.0323608015238062,0.01331843967083,0.0579200884766968,0.0709,10000
"N3",100,"SMD",-0.00152451848689003,0.000600764679315518,0.00212528316620555,0.142595670755338,0.142586961513975,NA,NA,10000
"N3",200,"IQR",0.245223005132313,0.257217480841555,0.0119944757092421,0.0487420033690054,0.0472455146945233,0.186882635768005,0.9396,10000
"N3",200,"Q95Q5",0.0957401794329387,0.100679457512457,0.00493927807951854,0.0174228379074012,0.0167088818139908,0.0661586873327357,0.9298,10000
"N3",200,"SD",0.313990797518647,0.327669489852029,0.0136786923333814,0.0559590887236849,0.0542642372799866,0.21342007657981,0.9337,10000
"N3",200,"MAD",0.490447259302924,0.513722818177434,0.0232755588745105,0.0972526012154918,0.0944309722660472,0.373971428866095,0.9407,10000
"N3",200,"Range",0.0288946760102745,0.050947687325302,0.0220530113150274,0.0239633242246674,0.00937626744898698,0.0386775115987615,0.1157,10000
"N3",200,"SMD",-0.00152451848689003,0.000331737606166219,0.00185625609305625,0.101134724452447,0.101122744149512,NA,NA,10000
"N4",50,"IQR",0.202648506373595,0.297339412442787,0.0946909060691919,0.136901780601506,0.0988772345406635,0.412246050908177,0.6098,10000
"N4",50,"Q95Q5",0.0718486829732694,0.107060490723055,0.035211807749786,0.0482986452635177,0.0330605055766867,0.134353346260488,0.512,10000
"N4",50,"SD",0.220941646610787,0.325061353384509,0.104119706773722,0.137579258203856,0.0899330180970915,0.380211813540941,0.4193,10000
"N4",50,"MAD",0.405303996931321,0.590198460963191,0.18489446403187,0.269744990487752,0.196418571141106,0.826021172648404,0.6141,10000
"N4",50,"Range",0.00120795423474149,0.054223044694571,0.0530150904598295,0.0560767859268753,0.0182767477242378,0.0813664438778649,0,10000
"N4",50,"SMD",-3.25733918106368e-05,0.00179428104996566,0.0018268544417763,0.200277551435894,0.200279233544431,NA,NA,10000
"N4",100,"IQR",0.202648506373595,0.253841270489768,0.0511927641161733,0.0865349999591228,0.0697717272931105,0.283261793142827,0.7745,10000
"N4",100,"Q95Q5",0.0718486829732694,0.0906246746191675,0.0187759916458981,0.0301704591653375,0.0236172505049297,0.0945736761830463,0.7363,10000
"N4",100,"SD",0.220941646610787,0.278911596097592,0.0579699494868052,0.0881601396327597,0.0664239142945066,0.272992731527452,0.6798,10000
"N4",100,"MAD",0.405303996931321,0.505943516763644,0.100639519832323,0.17186808805025,0.139327915238707,0.566615470461077,0.7745,10000
"N4",100,"Range",0.00120795423474149,0.0389739148735802,0.0377659606388387,0.0398836381398834,0.0128239328454343,0.0516134697194572,0,10000
"N4",100,"SMD",-3.25733918106368e-05,-0.000363511677011955,-0.000330938285201319,0.142942762209943,0.142949526773544,NA,NA,10000
"N4",200,"IQR",0.202648506373595,0.228120255708852,0.0254717493352575,0.0565616303094239,0.0505040896895419,0.198431307759,0.8714,10000
"N4",200,"Q95Q5",0.0718486829732694,0.0811292136692581,0.00928053069598875,0.0196208723320925,0.0172881540107669,0.0670701487965115,0.8558,10000
"N4",200,"SD",0.220941646610787,0.250446585967999,0.0295049393572116,0.0572006009769137,0.0490061982446506,0.195082230608512,0.8263,10000
"N4",200,"MAD",0.405303996931321,0.455434520674878,0.050130523743557,0.112616763923477,0.100848813350026,0.396846762339822,0.8729,10000
"N4",200,"Range",0.00120795423474149,0.0287933949778066,0.0275854407430651,0.029055262690181,0.00912469588609784,0.0336018174220058,0,10000
"N4",200,"SMD",-3.25733918106368e-05,9.43699161032009e-05,0.000126943307913838,0.100467529174765,0.100472472725898,NA,NA,10000
"N5",50,"IQR",0.337463674220696,0.606199169034108,0.268735494813411,0.339921779893927,0.208164318537058,0.89344534107763,0.5313,10000
"N5",50,"Q95Q5",0.124792058817602,0.212091007967996,0.0872989491503938,0.118536484461706,0.0801899910789635,0.313303038851852,0.8437,10000
"N5",50,"SD",0.203130188961509,0.369132094656864,0.166001905695355,0.205558422860712,0.121239854935315,0.433150201356959,0.3937,10000
"N5",50,"MAD",0.674920582177099,1.20437972476159,0.529459142584493,0.672418534791509,0.414532128976089,1.79018241884529,0.5338,10000
"N5",50,"Range",0.0243568851040263,0.0467820925363194,0.0224252074322931,0.0279835827673919,0.0167397430690529,0.0845782839944305,0.236,10000
"N5",50,"SMD",0.206167831897733,0.218595353572689,0.0124275216749567,0.209811312336304,0.209453409049261,NA,NA,10000
"N5",100,"IQR",0.337463674220696,0.520944125426952,0.183480451206256,0.234071351138572,0.145349351881579,0.618257348541861,0.5703,10000
"N5",100,"Q95Q5",0.124792058817602,0.189208594452479,0.0644165356348768,0.0852787456963397,0.0558863734108317,0.241788365307175,0.841,10000
"N5",100,"SD",0.203130188961509,0.316367940556495,0.113237751594986,0.143655131911647,0.0884013009930652,0.340464706026168,0.5215,10000
"N5",100,"MAD",0.674920582177099,1.03856805614268,0.363647473965584,0.465133710956932,0.290031542382159,1.23716382629906,0.5749,10000
"N5",100,"Range",0.0243568851040263,0.0375989331886908,0.0132420480846645,0.0169931615154527,0.0106502133085703,0.0482874053183505,0.541,10000
"N5",100,"SMD",0.206167831897733,0.212242194705577,0.00607436280784407,0.146100315089435,0.145981283866237,NA,NA,10000
"N5",200,"IQR",0.337463674220696,0.46158053589211,0.124116861671414,0.160815982022514,0.102263534584696,0.434272469456653,0.6087,10000
"N5",200,"Q95Q5",0.124792058817602,0.170119043347844,0.045326984530242,0.0591241497422466,0.0379641104664281,0.171228440758383,0.7549,10000
"N5",200,"SD",0.203130188961509,0.279477088730897,0.0763468997693883,0.0990608000074172,0.0631236204036,0.254638023934006,0.5954,10000
"N5",200,"MAD",0.674920582177099,0.92164759542978,0.246727013252681,0.320426456421329,0.204458003545135,0.868808720330771,0.6107,10000
"N5",200,"Range",0.0243568851040263,0.0331452468199576,0.00878836171593129,0.0114834927362667,0.00739193938358729,0.0316462385710203,0.6271,10000
"N5",200,"SMD",0.206167831897733,0.207489081545246,0.00132124964751282,0.102865107368848,0.102861764847976,NA,NA,10000
"N6",50,"IQR",0.275811696035589,0.700205518125161,0.424393822089572,0.503971392354936,0.271816917295504,1.2467518117738,0.1402,10000
"N6",50,"Q95Q5",0.0252081441116663,0.0673605145333629,0.0421523704216965,0.0502314317671939,0.0273212197772968,0.148814551481711,0.0398,10000
"N6",50,"SD",0.110303823980589,0.278832938311646,0.168529114331056,0.198293630276661,0.104495901213511,0.458040355657354,0.0804,10000
"N6",50,"MAD",0.551629480294206,1.3922990350137,0.840669554719495,1.00012454075446,0.541805455954673,2.48108383954167,0.1083,10000
"N6",50,"Range",0.024593311328455,0.0617588340440943,0.0371655227156393,0.0440595873495807,0.0236648930148599,0.107246961080707,0.1111,10000
"N6",50,"SMD",0.109567814831625,0.109146512694449,-0.000421302137175977,0.202372415904596,0.202382096725178,NA,NA,10000
"N6",100,"IQR",0.275811696035589,0.564844218498781,0.289032522463192,0.345902378350972,0.190032280242534,0.855991943344873,0.2152,10000
"N6",100,"Q95Q5",0.0252081441116663,0.0518336637602877,0.0266255196486214,0.0316744999245469,0.0171576539019687,0.0856081673240115,0.1806,10000
"N6",100,"SD",0.110303823980589,0.225532473469255,0.115228649488666,0.137136569111601,0.0743595983024717,0.330060234567961,0.2044,10000
"N6",100,"MAD",0.551629480294206,1.12537121659462,0.573741736300413,0.686968778073876,0.377836999452299,1.71050225046574,0.2152,10000
"N6",100,"Range",0.024593311328455,0.0500517226739751,0.0254584113455201,0.0304338602124985,0.0166768387559297,0.0751018045087891,0.2221,10000
"N6",100,"SMD",0.109567814831625,0.111189768459144,0.0016219536275188,0.141149503192564,0.14114724146194,NA,NA,10000
"N6",200,"IQR",0.275811696035589,0.474181710726483,0.198370014690894,0.239854227635673,0.134837702097116,0.597744160779904,0.3049,10000
"N6",200,"Q95Q5",0.0252081441116663,0.0432734571415002,0.0180653130298338,0.0216629576093549,0.0119558559613271,0.0547916805349818,0.2971,10000
"N6",200,"SD",0.110303823980589,0.189529965670631,0.0792261416900422,0.0955068631657768,0.0533391403292637,0.235010354023366,0.3031,10000
"N6",200,"MAD",0.551629480294206,0.946652299448392,0.395022819154186,0.478074647516153,0.269294621009154,1.19496072783177,0.3058,10000
"N6",200,"Range",0.024593311328455,0.0421536886426792,0.0175603773142242,0.0212168316221661,0.0119080339600081,0.0529312938321389,0.3102,10000
"N6",200,"SMD",0.109567814831625,0.111298973694933,0.00173115886330749,0.100397583576661,0.100387676761579,NA,NA,10000
"N7",50,"IQR",0.370711107642592,0.425258048241647,0.0545469405990545,0.118657998738947,0.105382458133521,0.431751040251721,0.8781,10000
"N7",50,"Q95Q5",0.138525966568063,0.161951086293706,0.0234251197256426,0.0456350874861087,0.0391660359692101,0.153483318527046,0.8834,10000
"N7",50,"SD",0.422569643460744,0.477860561745169,0.0552909182844253,0.118719398023693,0.105063379222917,0.402603920968436,0.8556,10000
"N7",50,"MAD",0.90325332804166,1.03313150897382,0.12987818093216,0.32829716238418,0.301529064809597,1.19128017296878,0.9163,10000
"N7",50,"Range",0.0176884778315472,0.0791913746276016,0.0615028967960544,0.0652526675461803,0.0218025650502526,0.0893427763022776,0,10000
"N7",50,"SMD",-0.000843658795575906,-0.0131229518096589,-0.012279293014083,0.202654520898803,0.202292278696939,NA,NA,10000
