partner,N_partner,nABCD,abs_SMD,IQR_pooled,skew_anchor,skew_partner,sd_anchor,sd_partner,rank_nABCD,rank_SMD,rank_diff
16,1231,0.019702661701147022,0.04262803122452804,15.774000000000001,-0.3435979239718021,-0.37235804779991577,11.40198710180082,10.90060150564581,1,5,-4
14,3437,0.02447958729003998,0.028758005510197505,17.019250000000007,-0.3435979239718021,-0.11659307085709245,11.40198710180082,11.817483570099421,2,3,-1
9,3123,0.025401701770965734,0.04503539690936898,16.71699999999999,-0.3435979239718021,-0.1669316537612197,11.40198710180082,11.845330324763552,3,7,-4
12,4352,0.02776728392934116,0.014182860762904382,17.406,-0.3435979239718021,-0.10463432933376221,11.40198710180082,12.046685490434438,4,1,3
6,1585,0.029108379703306157,0.0650538664755814,15.844000000000008,-0.3435979239718021,-0.16440624363335965,11.40198710180082,11.31566177811944,5,8,-3
15,2576,0.03143222704675736,0.03739839316854499,17.086000000000006,-0.3435979239718021,-0.12254007301270839,11.40198710180082,12.146193843422383,6,4,2
4,2876,0.031935880627186185,0.043479545274939066,17.078000000000003,-0.3435979239718021,-0.1360058424693836,11.40198710180082,12.216754316886064,7,6,1
11,2491,0.03342840881186311,0.019780244793539917,17.272999999999996,-0.3435979239718021,-0.06732637580752293,11.40198710180082,12.252570093723213,8,2,6
2,2952,0.033544377783114844,0.09456507211955444,16.523999999999994,-0.3435979239718021,-0.3073846644575668,11.40198710180082,11.606219806435448,9,11,-2
8,2916,0.03374158726864619,0.0867468350265744,16.968000000000004,-0.3435979239718021,-0.17298059250793074,11.40198710180082,12.076239749110998,10,10,0
5,1909,0.03648054891440404,0.0990607003944946,16.60925000000001,-0.3435979239718021,-0.256369879029101,11.40198710180082,12.074568095668946,11,12,-1
1,2188,0.03786258998872762,0.06783837293806835,17.506999999999998,-0.3435979239718021,-0.04894879565577479,11.40198710180082,12.026568090508135,12,9,3
7,3150,0.040319105105866976,0.10783329963542493,17.602000000000004,-0.3435979239718021,-0.13023023876754128,11.40198710180082,12.135027549917329,13,13,0
3,2030,0.0493409972877553,0.1361953666981126,16.07050000000001,-0.3435979239718021,-0.21795287018783976,11.40198710180082,11.863444896511986,14,14,0
10,1717,0.07086051508922266,0.20579884858844003,17.014999999999993,-0.3435979239718021,-0.09843691636861651,11.40198710180082,11.963120152893982,15,15,0
