partner,N_partner,sysbp_nABCD,sysbp_SMD,sysbp_rkN,sysbp_rkS,sysbp_diff,sysbp_skew,age_nABCD,age_SMD,age_rkN,age_rkS,age_diff,pulse_nABCD,pulse_SMD,pulse_rkN,pulse_rkS,pulse_diff,mean_nABCD,mean_SMD
4,2876,0.01830850755929454,0.004663576078313943,1,1,0,0.4704011730472075,0.031935880627186185,0.043479545274939066,7,6,1,0.03733137107743076,0.0972248156334144,2,3,-1,0.02919191975463716,0.048455978995555794
2,2952,0.04209331601369999,0.10989915015135907,10,10,0,0.2587671146426221,0.033544377783114844,0.09456507211955444,9,11,-2,0.03681205638124405,0.09079477406904041,1,2,-1,0.03748325005935296,0.0984196654466513
5,1909,0.029181776033740666,0.006245536542573926,4,2,2,1.3227114011298648,0.03648054891440404,0.0990607003944946,11,12,-1,0.048154904607562894,0.1233194633754363,4,4,0,0.037939076518569204,0.07620856677083494
3,2030,0.030943870530062447,0.04275691213205748,5,3,2,0.09340008998300237,0.0493409972877553,0.1361953666981126,14,14,0,0.03816864987028839,0.0887100871077737,3,1,2,0.03948450589603538,0.08922078864598126
14,3437,0.03816472543413822,0.06727262467016416,8,6,2,0.49158025714138326,0.02447958729003998,0.028758005510197505,2,3,-1,0.05683567825561894,0.14952155231919337,5,5,0,0.03982666365993238,0.08185072749985169
1,2188,0.027913606746702305,0.05276809984868465,3,5,-2,0.2562347393432245,0.03786258998872762,0.06783837293806835,12,9,3,0.06323073663764588,0.16738184523816343,8,9,-1,0.043002311124358594,0.09599610600830548
15,2576,0.04084399503250937,0.10064174169129024,9,9,0,0.3831690848897345,0.03143222704675736,0.03739839316854499,6,4,2,0.06275738377584945,0.16596223263232981,7,8,-1,0.0450112019517054,0.10133412249738834
6,1585,0.021622282435783527,0.04652081999854871,2,4,-2,0.025777472300043302,0.029108379703306157,0.0650538664755814,5,8,-3,0.10808232381009926,0.29216138556,14,15,-1,0.05293766198306298,0.13457869067804337
12,4352,0.06719676675097624,0.17642953532424985,12,12,0,0.2771253280864839,0.02776728392934116,0.014182860762904382,4,1,3,0.06466933381267469,0.15788900704409456,9,7,2,0.05321112816433069,0.11616713437708293
11,2491,0.06915856398833407,0.17888957108344605,13,13,0,0.2511798290243607,0.03342840881186311,0.019780244793539917,8,2,6,0.05898803898941133,0.15680926789240038,6,6,0,0.053858337263202834,0.11849302792312877
9,3123,0.07531299671900306,0.1927011772555012,14,14,0,0.29216998641521147,0.025401701770965734,0.04503539690936898,3,7,-4,0.06658992342822523,0.1873832597780252,10,10,0,0.05576820730606467,0.14170661131429846
7,3150,0.04608850208903578,0.11768595173422806,11,11,0,0.34622296434899363,0.040319105105866976,0.10783329963542493,13,13,0,0.08562677221035946,0.2265273369338548,11,11,0,0.05734479313508741,0.15068219610116926
8,2916,0.03749893672443872,0.09381553601496502,7,8,-1,0.1980137642325345,0.03374158726864619,0.0867468350265744,10,10,0,0.11076298913020757,0.28523596801165746,15,14,1,0.06066783770776416,0.1552661130177323
10,1717,0.032648703768898946,0.07455677589768404,6,7,-1,0.043049599674489215,0.07086051508922266,0.20579884858844003,15,15,0,0.08730649914590677,0.2362843128547982,12,12,0,0.06360523933467611,0.1722133124469741
16,1231,0.10970191991555643,0.275034480295326,15,15,0,0.04147831253966813,0.019702661701147022,0.04262803122452804,1,5,-4,0.09187271692989861,0.24731600602542447,13,13,0,0.07375909951553401,0.18832617251509284
