partner,N_partner,nABCD,abs_SMD,IQR_pooled,skew_anchor,skew_partner,sd_anchor,sd_partner,rank_nABCD,rank_SMD,rank_diff
4,2876,0.01830850755929454,0.004663576078313943,30,0.3622979485365542,0.4704011730472075,23.513021347741727,23.54259852553885,1,1,0
6,1585,0.021622282435783527,0.04652081999854871,30,0.3622979485365542,0.025777472300043302,23.513021347741727,23.91665684921427,2,4,-2
1,2188,0.027913606746702305,0.05276809984868465,31,0.3622979485365542,0.2562347393432245,23.513021347741727,23.889759677900752,3,5,-2
5,1909,0.029181776033740666,0.006245536542573926,30,0.3622979485365542,1.3227114011298648,23.513021347741727,24.700166553047602,4,2,2
3,2030,0.030943870530062447,0.04275691213205748,30,0.3622979485365542,0.09340008998300237,23.513021347741727,25.13009249144596,5,3,2
10,1717,0.032648703768898946,0.07455677589768404,31,0.3622979485365542,0.043049599674489215,23.513021347741727,23.698668061526345,6,7,-1
8,2916,0.03749893672443872,0.09381553601496502,32,0.3622979485365542,0.1980137642325345,23.513021347741727,22.874546009561858,7,8,-1
14,3437,0.03816472543413822,0.06727262467016416,33,0.3622979485365542,0.49158025714138326,23.513021347741727,25.139765568544103,8,6,2
15,2576,0.04084399503250937,0.10064174169129024,32,0.3622979485365542,0.3831690848897345,23.513021347741727,23.710115400456424,9,9,0
2,2952,0.04209331601369999,0.10989915015135907,33,0.3622979485365542,0.2587671146426221,23.513021347741727,23.65456731268128,10,10,0
7,3150,0.04608850208903578,0.11768595173422806,31,0.3622979485365542,0.34622296434899363,23.513021347741727,23.456098714236003,11,11,0
12,4352,0.06719676675097624,0.17642953532424985,31,0.3622979485365542,0.2771253280864839,23.513021347741727,23.54044087822986,12,12,0
11,2491,0.06915856398833407,0.17888957108344605,31,0.3622979485365542,0.2511798290243607,23.513021347741727,23.735498552837583,13,13,0
9,3123,0.07531299671900306,0.1927011772555012,30,0.3622979485365542,0.29216998641521147,23.513021347741727,23.333586698834797,14,14,0
16,1231,0.10970191991555643,0.275034480295326,30,0.3622979485365542,0.04147831253966813,23.513021347741727,21.708655468036877,15,15,0
