"partner","n","nABCD_age","ci_lower_age","ci_upper_age","nABCD_sysbp","ci_lower_sysbp","ci_upper_sysbp","iqr_age","Lstar_age_1pct","Lstar_age_2pct","iqr_sysbp","Lstar_sysbp_1pct","Lstar_sysbp_2pct","rank_age","rank_sysbp","rank_sum"
5,1909,0.0109824453109943,0.00987578302114081,0.0258340041372032,0.0562009503990795,0.038335618522279,0.0772137685201353,17.75,0.0256491275729892,0.0512982551459785,30,0.00296554890056444,0.00593109780112888,1,6,7
7,3150,0.0110288072785474,0.00823929830247014,0.0258448020692683,0.0817993526894363,0.0636513057576426,0.0978957942937978,18.349,0.0247075143288211,0.0494150286576421,31,0.00197177993807614,0.00394355987615228,2,12,14
4,2876,0.0155479216679474,0.0104405027470276,0.0323375664747152,0.0419442507364137,0.0288181091740103,0.0602578419672957,17.865,0.018000917432015,0.03600183486403,31,0.0038453499525889,0.0076906999051778,3,3,6
9,3123,0.0166733054471386,0.0113359665285486,0.0322010767232676,0.109738141610153,0.0908330673073872,0.129889371385852,17.574,0.0170638755850593,0.0341277511701186,31,0.00146977450332295,0.00293954900664589,4,15,19
15,2576,0.0169514717095626,0.0111831802149705,0.0344889232706771,0.0738164480852056,0.0566546317539202,0.0934812931087171,18.002,0.0163848261536218,0.0327696523072435,32,0.00211673690692408,0.00423347381384816,5,11,16
1,2188,0.0175931905743671,0.013811065094807,0.0281927215803965,0.0582381660446221,0.043594425372206,0.0789219219771189,18.3695,0.0154713446840706,0.0309426893681413,31,0.0027694952216913,0.00553899044338259,6,7,13
14,3437,0.0197844939019684,0.0118327981596062,0.0363541784094502,0.0641625321186952,0.0520462912862526,0.0816341779843766,17.75,0.0142379250255699,0.0284758500511398,34,0.00229197350343602,0.00458394700687204,7,9,16
12,4352,0.0238192486786879,0.013309507415045,0.0396610584096919,0.0970251135706496,0.0829206164057166,0.116747088444016,18.033,0.0116405623952377,0.0232811247904754,33,0.00156160756673399,0.00312321513346799,8,13,21
6,1585,0.0264751824751273,0.0184592656002693,0.0404600561700643,0.0495507570036102,0.031608663348893,0.0759429965215792,17.226,0.0109634338203809,0.0219268676407618,34,0.00296784211629092,0.00593568423258184,9,4,13
13,2297,0.0337415872686462,0.0222843832335579,0.0512080385117568,0.0374989367244387,0.0227924551465727,0.061017476121229,16.968,0.00873320872634566,0.0174664174526913,32,0.00416678481174559,0.00833356962349117,10,2,12
11,2491,0.0347972342286665,0.0208643817397725,0.0521714038315836,0.103939870067044,0.0818874555443187,0.121907234662103,18.2425,0.00787663866354077,0.0157532773270815,31,0.00155176567448669,0.00310353134897338,11,14,25
10,1717,0.0378543171539426,0.0219559876408981,0.0584247392428218,0.0624752741137404,0.0450831232147929,0.0849112477061068,18.25,0.00723755236755582,0.0144751047351116,32,0.00250098942688169,0.00500197885376338,12,8,20
16,1231,0.0504104441685933,0.0335156187522407,0.0714782681740691,0.0713710354405714,0.0509793824987547,0.0951108109844859,17.286,0.00573792637820387,0.0114758527564077,30,0.0023352143574468,0.0046704287148936,13,10,23
2,2952,0.0611319831346005,0.0443446528703166,0.0786682137631659,0.0148829314296229,0.0117402419414017,0.0297195209395977,17.57,0.00465510796796102,0.00931021593592203,32,0.0104986037689457,0.0209972075378914,14,1,15
3,2030,0.0755986364835761,0.0571215721072238,0.0953386259536749,0.0508001470645149,0.0352140802486029,0.0739459183769171,17.242,0.00383590992992085,0.0076718198598417,33,0.00298257308827731,0.00596514617655461,15,5,20
