"variable","region_i","region_j","n_i","n_j","nABCD","abs_SMD","SMD","skew_i","skew_j","skew_diff","sd_i","sd_j","sd_ratio","kurt_i","kurt_j","kurt_diff","ratio"
"age",1,2,2188,2952,0.05381,0.1598,-0.1598,-0.049,-0.3075,0.2586,12.0266,11.6062,1.0362,2.3123,2.5898,0.2775,0.3367
"age",1,3,2188,2030,0.06672,0.19895,-0.19895,-0.049,-0.2181,0.1691,12.0266,11.8634,1.0138,2.3123,2.7617,0.4494,0.3354
"age",1,4,2188,2876,0.0146,0.02297,-0.02297,-0.049,-0.1361,0.0871,12.0266,12.2168,1.0158,2.3123,2.4794,0.1671,0.6356
"age",1,5,2188,1909,0.02485,0.03036,0.03036,-0.049,-0.2566,0.2076,12.0266,12.0746,1.004,2.3123,2.4571,0.1449,0.8185
"age",1,6,2188,1585,0.02979,0.00469,-0.00469,-0.049,-0.1646,0.1156,12.0266,11.3157,1.0628,2.3123,2.7363,0.424,NA
"age",1,7,2188,3150,0.01376,0.03981,0.03981,-0.049,-0.1303,0.0813,12.0266,12.135,1.009,2.3123,2.3871,0.0748,0.3456
"age",1,8,2188,2916,0.01759,0.01889,0.01889,-0.049,-0.1731,0.1241,12.0266,12.0762,1.0041,2.3123,2.4991,0.1868,0.9312
"age",1,9,2188,3123,0.01676,0.0226,-0.0226,-0.049,-0.167,0.118,12.0266,11.8453,1.0153,2.3123,2.4946,0.1823,0.7416
"age",1,10,2188,1717,0.04328,0.13353,0.13353,-0.049,-0.0985,0.0495,12.0266,11.9631,1.0053,2.3123,2.479,0.1668,0.3241
"age",1,11,2188,2491,0.02745,0.0847,-0.0847,-0.049,-0.0674,0.0184,12.0266,12.2526,1.0188,2.3123,2.3721,0.0598,0.3241
"age",1,12,2188,4352,0.01748,0.05205,-0.05205,-0.049,-0.1047,0.0557,12.0266,12.0467,1.0017,2.3123,2.4348,0.1226,0.3358
"age",1,13,2188,2297,0.03786,0.06784,-0.06784,-0.049,-0.3438,0.2948,12.0266,11.402,1.0548,2.3123,2.7327,0.4204,0.5581
"age",1,14,2188,3437,0.0153,0.0386,-0.0386,-0.049,-0.1166,0.0677,12.0266,11.8175,1.0177,2.3123,2.469,0.1567,0.3964
"age",1,15,2188,2576,0.01375,0.0292,-0.0292,-0.049,-0.1226,0.0736,12.0266,12.1462,1.0099,2.3123,2.3826,0.0703,0.4709
"age",1,16,2188,1231,0.04905,0.10943,-0.10943,-0.049,-0.3728,0.3238,12.0266,10.9006,1.1033,2.3123,2.625,0.3127,0.4482
"age",2,3,2952,2030,0.01819,0.04214,-0.04214,-0.3075,-0.2181,0.0894,11.6062,11.8634,1.0222,2.5898,2.7617,0.1719,0.4317
"age",2,4,2952,2876,0.04877,0.13473,0.13473,-0.3075,-0.1361,0.1715,11.6062,12.2168,1.0526,2.5898,2.4794,0.1104,0.362
"age",2,5,2952,1909,0.06528,0.19075,0.19075,-0.3075,-0.2566,0.051,11.6062,12.0746,1.0404,2.5898,2.4571,0.1327,0.3422
"age",2,6,2952,1585,0.05526,0.15893,0.15893,-0.3075,-0.1646,0.143,11.6062,11.3157,1.0257,2.5898,2.7363,0.1465,0.3477
"age",2,7,2952,3150,0.06604,0.19903,0.19903,-0.3075,-0.1303,0.1772,11.6062,12.135,1.0456,2.5898,2.3871,0.2027,0.3318
"age",2,8,2952,2916,0.06113,0.17829,0.17829,-0.3075,-0.1731,0.1345,11.6062,12.0762,1.0405,2.5898,2.4991,0.0907,0.3429
"age",2,9,2952,3123,0.04791,0.13762,0.13762,-0.3075,-0.167,0.1405,11.6062,11.8453,1.0206,2.5898,2.4946,0.0952,0.3481
"age",2,10,2952,1717,0.09788,0.29694,0.29694,-0.3075,-0.0985,0.209,11.6062,11.9631,1.0308,2.5898,2.479,0.1108,0.3296
"age",2,11,2952,2491,0.03349,0.07178,0.07178,-0.3075,-0.0674,0.2402,11.6062,12.2526,1.0557,2.5898,2.3721,0.2177,0.4666
"age",2,12,2952,4352,0.03899,0.10588,0.10588,-0.3075,-0.1047,0.2029,11.6062,12.0467,1.038,2.5898,2.4348,0.1549,0.3682
"age",2,13,2952,2297,0.03354,0.09457,0.09457,-0.3075,-0.3438,0.0363,11.6062,11.402,1.0179,2.5898,2.7327,0.1429,0.3547
"age",2,14,2952,3437,0.04344,0.12152,0.12152,-0.3075,-0.1166,0.1909,11.6062,11.8175,1.0182,2.5898,2.469,0.1208,0.3575
"age",2,15,2952,2576,0.04605,0.12904,0.12904,-0.3075,-0.1226,0.1849,11.6062,12.1462,1.0465,2.5898,2.3826,0.2072,0.3569
"age",2,16,2952,1231,0.02639,0.05353,0.05353,-0.3075,-0.3728,0.0653,11.6062,10.9006,1.0647,2.5898,2.625,0.0352,0.493
"age",3,4,2030,2876,0.06036,0.17383,0.17383,-0.2181,-0.1361,0.082,11.8634,12.2168,1.0298,2.7617,2.4794,0.2822,0.3472
"age",3,5,2030,1909,0.08131,0.22922,0.22922,-0.2181,-0.2566,0.0385,11.8634,12.0746,1.0178,2.7617,2.4571,0.3045,0.3547
