"Scenario","SampleSize","TrueNABCD","Bias","RMSE","SD","MeanCIWidth","Coverage_Pct","Coverage_BCa","DetectPower_Pct","DetectPower_BCa","EquivPower_Pct","EquivPower_BCa"
"S01",50,0,0.0929,0.0993,0.0352,0.164,NA,NA,0.945,0.378,0,0.648
"S01",100,0,0.0663,0.0706,0.0244,0.1122,NA,NA,0.364,0.071,0.42,0.845
"S01",200,0,0.0472,0.0501,0.0167,0.0781,NA,NA,0.021,0.005,0.949,0.979
"S03",50,0.074,0.0387,0.0617,0.048,0.1806,0.672,0.724,0.959,0.515,0,0.453
"S03",100,0.074,0.0182,0.0418,0.0376,0.1346,0.895,0.744,0.587,0.287,0.179,0.52
"S03",200,0.074,0.0073,0.0316,0.0308,0.1058,0.949,0.796,0.288,0.199,0.495,0.628
"S04",50,0.186,0.004,0.0656,0.0655,0.2288,0.956,0.853,0.994,0.886,0,0.074
"S04",100,0.186,-0.0027,0.0488,0.0488,0.1785,0.95,0.914,0.972,0.919,0.003,0.023
"S04",200,0.186,-0.0042,0.0356,0.0353,0.1344,0.949,0.937,0.99,0.981,0.002,0.005
"S05",50,0.372,-0.038,0.0725,0.0617,0.2427,0.929,0.882,1,1,0,0
"S05",100,0.372,-0.041,0.06,0.0438,0.1723,0.867,0.825,1,1,0,0
"S05",200,0.372,-0.043,0.0528,0.0307,0.1212,0.731,0.698,1,1,0,0
"S06",50,0.148,0.0012,0.0451,0.0451,0.1856,0.963,0.829,0.997,0.837,0,0.16
"S06",100,0.148,-0.012,0.0352,0.0331,0.1313,0.976,0.839,0.984,0.84,0.009,0.163
"S06",200,0.148,-0.0192,0.0303,0.0235,0.0936,0.939,0.802,0.992,0.94,0.07,0.218
"S08",50,0.067,0.0287,0.0458,0.0356,0.1651,0.573,0.76,0.948,0.4,0,0.621
"S08",100,0.067,0.0027,0.0246,0.0244,0.1129,0.945,0.677,0.45,0.091,0.37,0.835
"S08",200,0.067,-0.0153,0.0229,0.0171,0.0782,0.996,0.487,0.055,0.012,0.937,0.976
