"Scenario","SampleSize","TrueNABCD","Bias","RMSE","SD","MeanCIWidth","Coverage_Pct","Coverage_BCa","DetectPower_Pct","DetectPower_BCa","EquivPower_Pct","EquivPower_BCa"
"S1",50,0,0.1851,0.1977,0.0694,0.3279,NA,NA,1,NA,0,NA
"S1",100,0,0.1318,0.1403,0.0481,0.2243,NA,NA,1,NA,0,NA
"S1",200,0,0.0939,0.0998,0.0338,0.1558,NA,NA,0.999,NA,0,NA
"S2",50,0.146,0.0776,0.1228,0.0952,0.3593,0.652,NA,1,NA,0,NA
"S2",100,0.146,0.0383,0.0859,0.0769,0.2685,0.885,NA,1,NA,0,NA
"S2",200,0.146,0.017,0.0647,0.0625,0.2113,0.943,NA,1,NA,0,NA
"S3",50,0.358,0.0232,0.1326,0.1305,0.4583,0.946,NA,1,NA,0,NA
"S3",100,0.358,0.0086,0.0972,0.0968,0.3571,0.945,NA,1,NA,0,NA
"S3",200,0.358,0.0051,0.0705,0.0703,0.2687,0.946,NA,1,NA,0,NA
"S4",50,0.656,0.0136,0.1243,0.1236,0.4864,0.947,NA,1,NA,0,NA
"S4",100,0.656,0.0062,0.0864,0.0861,0.344,0.955,NA,1,NA,0,NA
"S4",200,0.656,0.0026,0.0613,0.0612,0.2424,0.954,NA,1,NA,0,NA
"S5",50,0.244,0.0562,0.1073,0.0914,0.3718,0.847,NA,1,NA,0,NA
"S5",100,0.244,0.0276,0.0716,0.066,0.2628,0.91,NA,1,NA,0,NA
"S5",200,0.244,0.0136,0.049,0.0471,0.1873,0.939,NA,1,NA,0,NA
"S6",50,0.606,0.0338,0.1391,0.135,0.5381,0.954,NA,1,NA,0,NA
"S6",100,0.606,0.0163,0.0959,0.0945,0.3763,0.954,NA,1,NA,0,NA
"S6",200,0.606,0.0095,0.0679,0.0673,0.2644,0.951,NA,1,NA,0,NA
"S7",50,0.347,0.0487,0.1246,0.1147,0.4329,0.911,NA,1,NA,0,NA
"S7",100,0.347,0.0268,0.0865,0.0823,0.3189,0.932,NA,1,NA,0,NA
"S7",200,0.347,0.0145,0.0609,0.0592,0.2303,0.938,NA,1,NA,0,NA
