"em","method","k","overlap","spearman_vs_W1","only_in_method","only_in_W1"
"age","KS",9,9,0.964285714285714,"",""
"age","SMD",9,9,0.896428571428571,"",""
"age","RV1",9,9,0.896428571428571,"",""
"age","RV2",9,8,0.910714285714286,"R11","R6"
"age","RV3",9,8,0.903571428571428,"R10","R6"
"sysbp","KS",11,11,0.957142857142857,"",""
"sysbp","SMD",11,11,0.953571428571429,"",""
"sysbp","RV1",11,11,0.953571428571429,"",""
"sysbp","RV2",11,9,0.642857142857143,"R12|R7","R14|R3"
"sysbp","RV3",11,8,0.535714285714286,"R12|R7|R9","R14|R3|R5"
