"set","n","tau_clin","violation","sensitivity","k_formed_mean","feasible"
"Set1_Gaussian",25,3.995151,0.2885,0.40827777777778,6.843,FALSE
"Set1_Gaussian",25,7.998579,0.3595,0.444838235294119,3.666,FALSE
"Set1_Gaussian",25,9.2047,0.184,0.37841,3.2635,FALSE
"Set1_Gaussian",25,11.9629256,0,0.457749999999999,2.392,TRUE
"Set1_Gaussian",50,3.995151,0.046,0.656277777777772,5.1715,TRUE
"Set1_Gaussian",50,7.998579,0.1005,0.506441176470578,3.1965,FALSE
"Set1_Gaussian",50,9.2047,0.056,0.407840000000004,2.923,FALSE
"Set1_Gaussian",50,11.9629256,0,0.54118181818181,1.996,TRUE
"Set1_Gaussian",100,3.995151,0.001,0.837499999999998,3.927,TRUE
"Set1_Gaussian",100,7.998579,0.0175,0.530779411764687,3.008,TRUE
"Set1_Gaussian",100,9.2047,0.0065,0.464850000000001,2.676,TRUE
"Set1_Gaussian",100,11.9629256,0,0.608871212121203,1.808,TRUE
"Set1_Gaussian",200,3.995151,0,0.949527777777776,3.275,TRUE
"Set1_Gaussian",200,7.998579,0.013,0.53464705882351,2.9775,TRUE
"Set1_Gaussian",200,9.2047,0,0.557599999999991,2.3825,TRUE
"Set1_Gaussian",200,11.9629256,0,0.72557575757575,1.566,TRUE
"Set1_Gaussian",400,3.995151,0,0.995222222222222,3.027,TRUE
"Set1_Gaussian",400,7.998579,0.014,0.535058823529392,2.974,TRUE
"Set1_Gaussian",400,9.2047,0,0.643039999999995,2.1155,TRUE
"Set1_Gaussian",400,11.9629256,0,0.86133333333333,1.286,TRUE
"Set2_LogNormal",25,3.995902,0.363,0.055500000000001,10.646,FALSE
"Set2_LogNormal",25,10.9900545,0.2675,0.436955882352941,4.6915,FALSE
"Set2_LogNormal",25,15.1983745,0.23,0.451060000000001,3.4255,FALSE
"Set2_LogNormal",25,18.8697106,0,0.45657575757576,2.7135,TRUE
"Set2_LogNormal",50,3.995902,0.3755,0.153527777777777,9.2445,FALSE
"Set2_LogNormal",50,10.9900545,0.09,0.532073529411766,3.846,FALSE
"Set2_LogNormal",50,15.1983745,0.083,0.540429999999995,2.7735,FALSE
"Set2_LogNormal",50,18.8697106,0,0.520310606060602,2.18,TRUE
"Set2_LogNormal",100,3.995902,0.2175,0.339833333333335,7.493,FALSE
"Set2_LogNormal",100,10.9900545,0.015,0.617911764705878,3.134,TRUE
"Set2_LogNormal",100,15.1983745,0.012,0.641759999999996,2.183,TRUE
"Set2_LogNormal",100,18.8697106,0,0.56799999999999,1.912,TRUE
"Set2_LogNormal",200,3.995902,0.059,0.596166666666664,5.6355,FALSE
"Set2_LogNormal",200,10.9900545,0.0035,0.749764705882344,2.5805,TRUE
"Set2_LogNormal",200,15.1983745,0.001,0.675959999999999,2.017,TRUE
"Set2_LogNormal",200,18.8697106,0,0.651136363636355,1.72,TRUE
"Set2_LogNormal",400,3.995902,0.0015,0.803027777777773,4.171,TRUE
"Set2_LogNormal",400,10.9900545,0,0.897352941176466,2.2205,TRUE
"Set2_LogNormal",400,15.1983745,0,0.679999999999999,2,TRUE
"Set2_LogNormal",400,18.8697106,0,0.786181818181813,1.441,TRUE
"Set3_Mixture",25,0.633921,0,8.33333333333333e-05,11.9985,TRUE
"Set3_Mixture",25,2.1432095,0.074,0.123000000000004,8.4375,FALSE
"Set3_Mixture",25,3.227243,0.131,0.219360000000001,5.3,FALSE
"Set3_Mixture",25,3.95129535,0,0.251318181818181,4.033,TRUE
"Set3_Mixture",50,0.633921,0,0.001,11.982,TRUE
"Set3_Mixture",50,2.1432095,0.0125,0.252161764705883,6.188,TRUE
"Set3_Mixture",50,3.227243,0.0305,0.361479999999999,3.7515,TRUE
"Set3_Mixture",50,3.95129535,0,0.378984848484846,2.8655,TRUE
"Set3_Mixture",100,0.633921,0.003,0.0145555555555557,11.739,TRUE
"Set3_Mixture",100,2.1432095,5e-04,0.425132352941176,4.4045,TRUE
"Set3_Mixture",100,3.227243,0.0065,0.548699999999995,2.6225,TRUE
"Set3_Mixture",100,3.95129535,0,0.523621212121205,2.075,TRUE
"Set3_Mixture",200,0.633921,0.0135,0.0755555555555556,10.7525,TRUE
"Set3_Mixture",200,2.1432095,0,0.632397058823522,3.1215,TRUE
"Set3_Mixture",200,3.227243,0,0.664329999999997,2.0695,TRUE
"Set3_Mixture",200,3.95129535,0,0.679136363636356,1.6635,TRUE
"Set3_Mixture",400,0.633921,0.0105,0.241972222222223,8.43,TRUE
"Set3_Mixture",400,2.1432095,0,0.861735294117641,2.3425,TRUE
"Set3_Mixture",400,3.227243,0,0.679839999999999,2.0005,TRUE
"Set3_Mixture",400,3.95129535,0,0.894060606060603,1.2185,TRUE
"Set4_Extremes",25,1.5082055,0.0065,0.000333333333333333,11.9875,TRUE
"Set4_Extremes",25,3.0225535,0.177,0.0180294117647062,11.217,FALSE
"Set4_Extremes",25,4.514619,0.1865,0.0613600000000005,9.2455,FALSE
"Set4_Extremes",25,6.9006233,0,0.144553030303029,6.372,TRUE
"Set4_Extremes",50,1.5082055,5e-04,0.000916666666666667,11.983,TRUE
"Set4_Extremes",50,3.0225535,0.0985,0.0438676470588248,10.5265,FALSE
"Set4_Extremes",50,4.514619,0.0715,0.11087,7.877,FALSE
"Set4_Extremes",50,6.9006233,0,0.222984848484848,4.8275,TRUE
"Set4_Extremes",100,1.5082055,5e-04,0.00905555555555556,11.8375,TRUE
"Set4_Extremes",100,3.0225535,0.0565,0.117852941176474,8.7875,FALSE
"Set4_Extremes",100,4.514619,0.0125,0.190570000000001,6.029,TRUE
"Set4_Extremes",100,6.9006233,0,0.319393939393941,3.557,TRUE
"Set4_Extremes",200,1.5082055,0,0.0627500000000012,10.9565,TRUE
"Set4_Extremes",200,3.0225535,0.025,0.240544117647059,6.602,TRUE
"Set4_Extremes",200,4.514619,5e-04,0.27889,4.4165,TRUE
"Set4_Extremes",200,6.9006233,0,0.44822727272727,2.5165,TRUE
"Set4_Extremes",400,1.5082055,0,0.216472222222223,8.958,TRUE
"Set4_Extremes",400,3.0225535,0.003,0.371338235294121,4.7615,TRUE
"Set4_Extremes",400,4.514619,5e-04,0.360690000000002,3.3515,TRUE
"Set4_Extremes",400,6.9006233,0,0.519378787878779,2.038,TRUE
