"set","n","method","ari","mc_se","k_hat_mean","k_hat_mode","p_k_correct"
"Set1_Gaussian",25,"W1",0.644077672793008,0.00614500745421588,3.056,3,0.4225
"Set1_Gaussian",25,"SMD",0.362417685022523,0.00337319909959606,2.7185,2,0.1745
"Set1_Gaussian",25,"KS",0.446379700914168,0.00468880229100828,2.3745,2,0.15
"Set1_Gaussian",25,"RV1",0.367198676004285,0.00342129446416608,2.89,2,0.219
"Set1_Gaussian",25,"RV2",0.736094221189607,0.00518144399785914,3.4015,3,0.4645
"Set1_Gaussian",25,"RV3",0.47540094405819,0.00555378406546318,3.8385,4,0.195
"Set1_Gaussian",50,"W1",0.919898548636,0.00315869589747735,3.161,3,0.7735
"Set1_Gaussian",50,"SMD",0.463819879856694,0.00212974223319575,2.259,2,0.076
"Set1_Gaussian",50,"KS",0.601267037259336,0.00460827489943258,2.325,2,0.217
"Set1_Gaussian",50,"RV1",0.467491550332914,0.00223619629182827,2.405,2,0.124
"Set1_Gaussian",50,"RV2",0.928375233015397,0.00273550598727424,3.2555,3,0.735
"Set1_Gaussian",50,"RV3",0.660578930460658,0.00435472812959342,4.26,4,0.169
"Set1_Gaussian",100,"W1",0.990175384956606,0.000911958714075893,3.0525,3,0.9465
"Set1_Gaussian",100,"SMD",0.506038584846606,0.0011300529692902,2.0655,2,0.033
"Set1_Gaussian",100,"KS",0.722779808430024,0.00525165956193174,2.4525,2,0.414
"Set1_Gaussian",100,"RV1",0.51105331316181,0.00120885936681597,2.129,2,0.053
"Set1_Gaussian",100,"RV2",0.983964357656099,0.00108897268075039,3.0995,3,0.9015
"Set1_Gaussian",100,"RV3",0.751493701108474,0.00345582677330696,4.414,4,0.1645
"Set1_Gaussian",200,"W1",0.998544038051501,0.000342273042823293,3.009,3,0.991
"Set1_Gaussian",200,"SMD",0.519543550313543,0.000478348229695511,2.018,2,0.0135
"Set1_Gaussian",200,"KS",0.906232316677479,0.00422750761972855,2.812,3,0.8
"Set1_Gaussian",200,"RV1",0.520568922812032,0.000536925514544167,2.0305,2,0.019
"Set1_Gaussian",200,"RV2",0.994482860423158,0.000658600451703046,3.034,3,0.966
"Set1_Gaussian",200,"RV3",0.759842306917137,0.00336667960610807,4.527,4,0.1425
"Set1_Gaussian",400,"W1",1,0,3,3,1
"Set1_Gaussian",400,"SMD",0.520122938530726,0.000350825521003492,2.0105,2,0.0105
"Set1_Gaussian",400,"KS",0.996509644800365,0.000897144053702417,2.994,3,0.992
"Set1_Gaussian",400,"RV1",0.521652415550458,0.000115688446872352,2.003,2,0.002
"Set1_Gaussian",400,"RV2",0.998768656716418,0.000316736981832868,3.0075,3,0.9925
"Set1_Gaussian",400,"RV3",0.759135713952693,0.00331980584637278,4.579,4,0.1235
"Set2_LogNormal",25,"W1",0.295558017553684,0.00529208409840664,2.376,2,0.1925
"Set2_LogNormal",25,"SMD",0.144427447095226,0.00363784734981375,3.2225,2,0.2105
"Set2_LogNormal",25,"KS",0.378256154406187,0.00502754080919835,2.3745,2,0.2025
"Set2_LogNormal",25,"RV1",0.145685476565067,0.00366992940578556,3.156,2,0.2165
"Set2_LogNormal",25,"RV2",0.260410706113005,0.00543511891910487,3.0985,2,0.259
