"set","n","seed","reps","k_true","linkage","methods","elapsed_s"
"Set1_Gaussian",25,20261712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",55.9
"Set1_Gaussian",50,20262712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",56.7
"Set1_Gaussian",75,20263712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",72.3
"Set1_Gaussian",100,20264712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",73.8
"Set2_LogNormal",25,20265712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",59.4
"Set2_LogNormal",50,20266712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",62.4
"Set2_LogNormal",75,20267712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",76.1
"Set2_LogNormal",100,20268712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",70.7
"Set3_Mixture",25,20269712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",49.4
"Set3_Mixture",50,20270712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",48.3
"Set3_Mixture",75,20271712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",50.8
"Set3_Mixture",100,20272712,5000,3,"average","W1|SMD|KS|RV1|RV2|RV3",52.7
