"set","n","seed","reps","k_true","linkage","methods","elapsed_s"
"Set1_Gaussian",150,77001000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",29.2
"Set1_Gaussian",200,77002000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",37.2
"Set1_Gaussian",300,77003000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",39.3
"Set1_Gaussian",400,77004000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",35
"Set1_Gaussian",600,77005000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",42.8
"Set1_Gaussian",1000,77006000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",50
"Set1_Gaussian",1500,77007000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",74.1
"Set1_Gaussian",2000,77008000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",96.5
"Set2_LogNormal",150,77009000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",22.1
"Set2_LogNormal",200,77010000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",23.6
"Set2_LogNormal",300,77011000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",26.8
"Set2_LogNormal",400,77012000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",30.2
"Set2_LogNormal",600,77013000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",36.6
"Set2_LogNormal",1000,77014000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",51.2
"Set2_LogNormal",1500,77015000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",75
"Set2_LogNormal",2000,77016000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",96
"Set3_Mixture",150,77017000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",22.2
"Set3_Mixture",200,77018000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",23.8
"Set3_Mixture",300,77019000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",27.3
"Set3_Mixture",400,77020000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",30.9
"Set3_Mixture",600,77021000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",37
"Set3_Mixture",1000,77022000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",51.6
"Set3_Mixture",1500,77023000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",74.2
"Set3_Mixture",2000,77024000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",85
"Set4_Extremes",150,77025000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",18.5
"Set4_Extremes",200,77026000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",20.7
"Set4_Extremes",300,77027000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",22.5
"Set4_Extremes",400,77028000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",25.3
"Set4_Extremes",600,77029000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",30.7
"Set4_Extremes",1000,77030000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",42.3
"Set4_Extremes",1500,77031000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",62.7
"Set4_Extremes",2000,77032000,2000,3,"average","W1|SMD|KS|RV1|RV2|RV3",79.7
