"set","n","method","measure","value","mc_se"
"Set1_Gaussian",150,"W1","ari",0.99957256668826,0.000323744585743756
"Set1_Gaussian",150,"W1","exact_recovery",0.999,0.000706753139363385
"Set1_Gaussian",150,"SMD","ari",0.454150027098833,0.00168621376615703
"Set1_Gaussian",150,"SMD","exact_recovery",0.001,0.000706753139363385
"Set1_Gaussian",150,"KS","ari",0.997512196685562,0.000751931715371588
"Set1_Gaussian",150,"KS","exact_recovery",0.994,0.0017268468374468
"Set1_Gaussian",150,"RV1","ari",0.491652494441238,0.0018108843818659
"Set1_Gaussian",150,"RV1","exact_recovery",0.003,0.00122290637417588
"Set1_Gaussian",150,"RV2","ari",0.999868600682594,0.000131366463469744
"Set1_Gaussian",150,"RV2","exact_recovery",0.9995,0.000499874984371065
"Set1_Gaussian",150,"RV3","ari",0.655270882661685,0.00566200193640543
"Set1_Gaussian",150,"RV3","exact_recovery",0.3185,0.0104177192801496
"Set1_Gaussian",200,"W1","ari",1,0
"Set1_Gaussian",200,"W1","exact_recovery",1,0
"Set1_Gaussian",200,"SMD","ari",0.458471655806459,0.0017832870251959
"Set1_Gaussian",200,"SMD","exact_recovery",0.002,0.000998999499499374
"Set1_Gaussian",200,"KS","ari",1,0
"Set1_Gaussian",200,"KS","exact_recovery",1,0
"Set1_Gaussian",200,"RV1","ari",0.496959240005725,0.00188247823386624
"Set1_Gaussian",200,"RV1","exact_recovery",0.0045,0.00149662119455793
"Set1_Gaussian",200,"RV2","ari",1,0
"Set1_Gaussian",200,"RV2","exact_recovery",1,0
"Set1_Gaussian",200,"RV3","ari",0.676281556170595,0.00566759997697254
"Set1_Gaussian",200,"RV3","exact_recovery",0.354,0.0106930818756802
"Set1_Gaussian",300,"W1","ari",1,0
"Set1_Gaussian",300,"W1","exact_recovery",1,0
"Set1_Gaussian",300,"SMD","ari",0.458934333688453,0.00173686640472314
"Set1_Gaussian",300,"SMD","exact_recovery",0.0025,0.00111663557170636
"Set1_Gaussian",300,"KS","ari",1,0
"Set1_Gaussian",300,"KS","exact_recovery",1,0
"Set1_Gaussian",300,"RV1","ari",0.49363625534109,0.00179968945287438
"Set1_Gaussian",300,"RV1","exact_recovery",0.004,0.00141138230115019
"Set1_Gaussian",300,"RV2","ari",1,0
"Set1_Gaussian",300,"RV2","exact_recovery",1,0
"Set1_Gaussian",300,"RV3","ari",0.692365166982713,0.00583222664631561
"Set1_Gaussian",300,"RV3","exact_recovery",0.395,0.0109310338028935
"Set1_Gaussian",400,"W1","ari",1,0
"Set1_Gaussian",400,"W1","exact_recovery",1,0
"Set1_Gaussian",400,"SMD","ari",0.460593608426867,0.00181055276131987
"Set1_Gaussian",400,"SMD","exact_recovery",0.004,0.00141138230115019
"Set1_Gaussian",400,"KS","ari",1,0
"Set1_Gaussian",400,"KS","exact_recovery",1,0
"Set1_Gaussian",400,"RV1","ari",0.49350646243214,0.00178878958080371
"Set1_Gaussian",400,"RV1","exact_recovery",0.0035,0.0013205585939291
"Set1_Gaussian",400,"RV2","ari",1,0
"Set1_Gaussian",400,"RV2","exact_recovery",1,0
"Set1_Gaussian",400,"RV3","ari",0.700962085399013,0.00588278137166056
"Set1_Gaussian",400,"RV3","exact_recovery",0.414,0.0110137187180352
"Set1_Gaussian",600,"W1","ari",1,0
"Set1_Gaussian",600,"W1","exact_recovery",1,0
"Set1_Gaussian",600,"SMD","ari",0.459512668727539,0.00170640314205943
"Set1_Gaussian",600,"SMD","exact_recovery",0.0025,0.00111663557170636
"Set1_Gaussian",600,"KS","ari",1,0
"Set1_Gaussian",600,"KS","exact_recovery",1,0
"Set1_Gaussian",600,"RV1","ari",0.494022797255864,0.00172599570257043
"Set1_Gaussian",600,"RV1","exact_recovery",0.004,0.00141138230115019
"Set1_Gaussian",600,"RV2","ari",1,0
"Set1_Gaussian",600,"RV2","exact_recovery",1,0
"Set1_Gaussian",600,"RV3","ari",0.700979108800231,0.00585497745639004
"Set1_Gaussian",600,"RV3","exact_recovery",0.4115,0.01100381183954
"Set1_Gaussian",1000,"W1","ari",1,0
"Set1_Gaussian",1000,"W1","exact_recovery",1,0
"Set1_Gaussian",1000,"SMD","ari",0.462051435897968,0.00186643156167309
"Set1_Gaussian",1000,"SMD","exact_recovery",0.0055,0.00165374574829385
"Set1_Gaussian",1000,"KS","ari",1,0
"Set1_Gaussian",1000,"KS","exact_recovery",1,0
"Set1_Gaussian",1000,"RV1","ari",0.495451843907728,0.00185647741000559
"Set1_Gaussian",1000,"RV1","exact_recovery",0.005,0.00157718102955875
"Set1_Gaussian",1000,"RV2","ari",1,0
