"mode","factor","tau_age","tau_sysbp","n_joint","members"
"age_only",0.8,1.25,5,7,"R1 R13 R14 R15 R4 R5 R6"
"age_only",0.9,1.11111111111111,5,6,"R1 R14 R15 R4 R5 R6"
"age_only",1,1,5,6,"R1 R14 R15 R4 R5 R6"
"age_only",1.05,0.952380952380952,5,6,"R1 R14 R15 R4 R5 R6"
"age_only",1.1,0.909090909090909,5,5,"R1 R14 R15 R4 R5"
"age_only",1.25,0.8,5,5,"R1 R14 R15 R4 R5"
"age_only",1.5,0.666666666666667,5,4,"R1 R15 R4 R5"
"age_only",2,0.5,5,1,"R5"
"sbp_only",0.8,1,6.25,7,"R1 R14 R15 R4 R5 R6 R7"
"sbp_only",0.9,1,5.55555555555556,7,"R1 R14 R15 R4 R5 R6 R7"
"sbp_only",1,1,5,6,"R1 R14 R15 R4 R5 R6"
"sbp_only",1.05,1,4.76190476190476,6,"R1 R14 R15 R4 R5 R6"
"sbp_only",1.1,1,4.54545454545454,5,"R1 R14 R4 R5 R6"
"sbp_only",1.25,1,4,4,"R1 R4 R5 R6"
"sbp_only",1.5,1,3.33333333333333,1,"R4"
"sbp_only",2,1,2.5,0,""
"common",0.8,1.25,6.25,8,"R1 R13 R14 R15 R4 R5 R6 R7"
"common",0.9,1.11111111111111,5.55555555555556,7,"R1 R14 R15 R4 R5 R6 R7"
"common",1,1,5,6,"R1 R14 R15 R4 R5 R6"
"common",1.05,0.952380952380952,4.76190476190476,6,"R1 R14 R15 R4 R5 R6"
"common",1.1,0.909090909090909,4.54545454545454,4,"R1 R14 R4 R5"
"common",1.25,0.8,4,3,"R1 R4 R5"
"common",1.5,0.666666666666667,3.33333333333333,1,"R4"
"common",2,0.5,2.5,0,""
