"em","region","n_anchor","n_partner","w1_obs","tau_clin","null_mean_anchor","null_q95_anchor","null_mean_partner","null_q95_partner","resolved_anchor","resolved_partner","eligible"
"age","R1",2916,2188,0.646356228511672,1,0.424910620453753,0.723618234421197,0.414863145415635,0.722938590434669,FALSE,FALSE,TRUE
"age","R2",2916,2952,2.14817788734986,1,0.393894707835658,0.671023099635317,0.370928089694369,0.631254140946502,TRUE,TRUE,FALSE
"age","R3",2916,2030,2.60694338049964,1,0.431652031609026,0.749568758235521,0.430892791103948,0.726366738868954,TRUE,TRUE,FALSE
"age","R4",2916,2876,0.555527241195762,1,0.39316404329573,0.691502726385146,0.388808243536929,0.666599963035461,FALSE,FALSE,TRUE
"age","R5",2916,1909,0.389876808540298,1,0.440070556918226,0.748669035463738,0.435161086364783,0.741758421519321,FALSE,FALSE,TRUE
"age","R6",2916,1585,0.912122986633087,1,0.470418647971488,0.815628334945238,0.444238819007716,0.746609273712315,TRUE,TRUE,TRUE
"age","R7",2916,3150,0.404735169508132,1,0.380830159135802,0.64086181020968,0.378693265588869,0.639309631785224,FALSE,FALSE,TRUE
"age","R9",2916,3123,0.586033339856026,1,0.384383866771524,0.662878277949739,0.366161433647905,0.615294787478801,FALSE,FALSE,TRUE
"age","R10",2916,1717,1.3816825761189,1,0.456674542562453,0.779617458234566,0.444335608305511,0.766098133338207,TRUE,TRUE,FALSE
"age","R11",2916,2491,1.2695770908329,1,0.406660739563251,0.696915126354739,0.404630237693557,0.704336827937227,TRUE,TRUE,FALSE
"age","R12",2916,4352,0.859065022845558,1,0.359191286558724,0.618213819513789,0.355676725657881,0.616070523966403,TRUE,TRUE,TRUE
"age","R13",2916,2297,1.14505450554878,1,0.411887829159732,0.699115538793965,0.393202780275295,0.693707378458692,TRUE,TRUE,FALSE
"age","R14",2916,3437,0.702349533519877,1,0.37757848477015,0.652483810973577,0.361544317337541,0.618605739655161,TRUE,TRUE,TRUE
"age","R15",2916,2576,0.610320787431093,1,0.400259283707261,0.683381077334092,0.393764142916518,0.675697237771473,FALSE,FALSE,TRUE
"age","R16",2916,1231,1.74278987579661,1,0.509814748438543,0.899798472293261,0.448114223053653,0.782814406426239,TRUE,TRUE,FALSE
"sysbp","R1",2916,2188,3.61076629476657,5,0.847118493942517,1.43547360838393,0.926633987794755,1.54122730794983,TRUE,TRUE,TRUE
"sysbp","R2",2916,2952,0.952507611495868,5,0.769118758155174,1.29068574559202,0.796868452858912,1.37887872628726,FALSE,FALSE,TRUE
"sysbp","R3",2916,2030,3.35280970625798,5,0.849445695905721,1.39466877158129,0.944661078844763,1.55395306682344,TRUE,TRUE,TRUE
"sysbp","R4",2916,2876,2.60054354565765,5,0.768524233713186,1.26252656677179,0.821411857460923,1.33568101081559,TRUE,TRUE,TRUE
"sysbp","R5",2916,1909,3.37205702394477,5,0.863524277913227,1.41574386650197,0.992749397302935,1.57971468985622,TRUE,TRUE,TRUE
"sysbp","R6",2916,1585,3.36945147624549,5,0.924843360032541,1.56178406528973,1.02805859902723,1.67344464133487,TRUE,TRUE,TRUE
"sysbp","R7",2916,3150,5.07155986674505,5,0.756769342543602,1.24806104252401,0.790349731530472,1.29889006466784,TRUE,TRUE,FALSE
"sysbp","R9",2916,3123,6.80376477982946,5,0.762953475903591,1.27765715737084,0.804009006751975,1.29843410894083,TRUE,TRUE,FALSE
"sysbp","R10",2916,1717,3.99841754327938,5,0.891719332536013,1.52388640824867,0.963079073303118,1.5929338204336,TRUE,TRUE,TRUE
"sysbp","R11",2916,2491,6.44427194415671,5,0.79386641277598,1.30797446252324,0.859219704860681,1.42251503216793,TRUE,TRUE,FALSE
"sysbp","R12",2916,4352,6.40365749566288,5,0.704449565152707,1.17569713938816,0.761269861104807,1.23419004175745,TRUE,TRUE,FALSE
"sysbp","R13",2916,2297,2.39993195036408,5,0.816212584942607,1.37113545102367,0.88506828261411,1.44105781053954,TRUE,TRUE,TRUE
"sysbp","R14",2916,3437,4.36305218407127,5,0.743117848841363,1.23619573746205,0.845641797954001,1.35953492474575,TRUE,TRUE,TRUE
"sysbp","R15",2916,2576,4.72425267745316,5,0.800228510616091,1.33737099979552,0.859039705171297,1.39884775792586,TRUE,TRUE,TRUE
"sysbp","R16",2916,1231,4.28226212643428,5,1.01289472756823,1.69099125639766,0.906455477719498,1.51700415589944,TRUE,TRUE,TRUE
