"set","method","threshold","required_n","note","max_auc","value_at_2000"
"Set1_Gaussian / location","KS",0.8,25,"<=25",1,1
"Set1_Gaussian / location","KS",0.9,39,"",1,1
"Set1_Gaussian / location","KS",0.95,62,"",1,1
"Set1_Gaussian / scale","KS",0.8,41,"",1,1
"Set1_Gaussian / scale","KS",0.9,76,"",1,1
"Set1_Gaussian / scale","KS",0.95,120,"",1,1
"Set1_Gaussian / combined","KS",0.8,34,"",1,1
"Set1_Gaussian / combined","KS",0.9,62,"",1,1
"Set1_Gaussian / combined","KS",0.95,94,"",1,1
"Set1_Gaussian / location","RV1",0.8,25,"<=25",1,1
"Set1_Gaussian / location","RV1",0.9,30,"",1,1
"Set1_Gaussian / location","RV1",0.95,48,"",1,1
"Set1_Gaussian / scale","RV1",0.8,NA,"blind (plateau 0.622)",0.6266,0.62
"Set1_Gaussian / scale","RV1",0.9,NA,"blind (plateau 0.622)",0.6266,0.62
"Set1_Gaussian / scale","RV1",0.95,NA,"blind (plateau 0.622)",0.6266,0.62
"Set1_Gaussian / combined","RV1",0.8,27,"",1,1
"Set1_Gaussian / combined","RV1",0.9,56,"",1,1
"Set1_Gaussian / combined","RV1",0.95,89,"",1,1
"Set1_Gaussian / location","RV2",0.8,25,"<=25",1,1
"Set1_Gaussian / location","RV2",0.9,33,"",1,1
"Set1_Gaussian / location","RV2",0.95,50,"",1,1
"Set1_Gaussian / scale","RV2",0.8,25,"<=25",1,1
"Set1_Gaussian / scale","RV2",0.9,25,"<=25",1,1
"Set1_Gaussian / scale","RV2",0.95,28,"",1,1
"Set1_Gaussian / combined","RV2",0.8,25,"<=25",1,1
"Set1_Gaussian / combined","RV2",0.9,34,"",1,1
"Set1_Gaussian / combined","RV2",0.95,51,"",1,1
"Set1_Gaussian / location","RV3",0.8,37,"",0.9037,0.8983
"Set1_Gaussian / location","RV3",0.9,657,"",0.9037,0.8983
"Set1_Gaussian / location","RV3",0.95,NA,"blind (plateau 0.900)",0.9037,0.8983
"Set1_Gaussian / scale","RV3",0.8,25,"<=25",0.9264,0.9246
"Set1_Gaussian / scale","RV3",0.9,48,"",0.9264,0.9246
"Set1_Gaussian / scale","RV3",0.95,NA,"blind (plateau 0.924)",0.9264,0.9246
"Set1_Gaussian / combined","RV3",0.8,41,"",0.8806,0.879
"Set1_Gaussian / combined","RV3",0.9,NA,"blind (plateau 0.880)",0.8806,0.879
"Set1_Gaussian / combined","RV3",0.95,NA,"blind (plateau 0.880)",0.8806,0.879
"Set1_Gaussian / location","SMD",0.8,25,"<=25",1,1
"Set1_Gaussian / location","SMD",0.9,30,"",1,1
"Set1_Gaussian / location","SMD",0.95,48,"",1,1
"Set1_Gaussian / scale","SMD",0.8,NA,"blind (plateau 0.500)",0.5077,0.4937
"Set1_Gaussian / scale","SMD",0.9,NA,"blind (plateau 0.500)",0.5077,0.4937
"Set1_Gaussian / scale","SMD",0.95,NA,"blind (plateau 0.500)",0.5077,0.4937
"Set1_Gaussian / combined","SMD",0.8,34,"",1,1
"Set1_Gaussian / combined","SMD",0.9,67,"",1,1
"Set1_Gaussian / combined","SMD",0.95,104,"",1,1
"Set1_Gaussian / location","W1",0.8,25,"<=25",1,1
"Set1_Gaussian / location","W1",0.9,33,"",1,1
"Set1_Gaussian / location","W1",0.95,50,"",1,1
"Set1_Gaussian / scale","W1",0.8,25,"<=25",1,1
"Set1_Gaussian / scale","W1",0.9,25,"<=25",1,1
"Set1_Gaussian / scale","W1",0.95,33,"",1,1
"Set1_Gaussian / combined","W1",0.8,25,"<=25",1,1
"Set1_Gaussian / combined","W1",0.9,35,"",1,1
"Set1_Gaussian / combined","W1",0.95,56,"",1,1
"Set2_LogNormal / location","KS",0.8,75,"",1,1
"Set2_LogNormal / location","KS",0.9,157,"",1,1
"Set2_LogNormal / location","KS",0.95,251,"",1,1
"Set2_LogNormal / shape","KS",0.8,38,"",1,1
"Set2_LogNormal / shape","KS",0.9,77,"",1,1
"Set2_LogNormal / shape","KS",0.95,128,"",1,1
"Set2_LogNormal / combined","KS",0.8,99,"",1,1
"Set2_LogNormal / combined","KS",0.9,188,"",1,1
"Set2_LogNormal / combined","KS",0.95,285,"",1,1
"Set2_LogNormal / location","RV1",0.8,59,"",1,1
"Set2_LogNormal / location","RV1",0.9,127,"",1,1
"Set2_LogNormal / location","RV1",0.95,201,"",1,1
"Set2_LogNormal / shape","RV1",0.8,NA,"blind (plateau 0.619)",0.6273,0.6167
"Set2_LogNormal / shape","RV1",0.9,NA,"blind (plateau 0.619)",0.6273,0.6167
"Set2_LogNormal / shape","RV1",0.95,NA,"blind (plateau 0.619)",0.6273,0.6167
"Set2_LogNormal / combined","RV1",0.8,188,"",0.9973,0.9973
"Set2_LogNormal / combined","RV1",0.9,403,"",0.9973,0.9973
"Set2_LogNormal / combined","RV1",0.95,672,"",0.9973,0.9973
"Set2_LogNormal / location","RV2",0.8,64,"",1,1
"Set2_LogNormal / location","RV2",0.9,132,"",1,1
"Set2_LogNormal / location","RV2",0.95,208,"",1,1
"Set2_LogNormal / shape","RV2",0.8,25,"<=25",1,1
"Set2_LogNormal / shape","RV2",0.9,60,"",1,1
"Set2_LogNormal / shape","RV2",0.95,127,"",1,1
"Set2_LogNormal / combined","RV2",0.8,40,"",1,1
"Set2_LogNormal / combined","RV2",0.9,106,"",1,1
"Set2_LogNormal / combined","RV2",0.95,187,"",1,1
"Set2_LogNormal / location","RV3",0.8,90,"",0.9996,0.9996
"Set2_LogNormal / location","RV3",0.9,191,"",0.9996,0.9996
"Set2_LogNormal / location","RV3",0.95,323,"",0.9996,0.9996
"Set2_LogNormal / shape","RV3",0.8,38,"",0.9987,0.9987
"Set2_LogNormal / shape","RV3",0.9,138,"",0.9987,0.9987
"Set2_LogNormal / shape","RV3",0.95,303,"",0.9987,0.9987
"Set2_LogNormal / combined","RV3",0.8,68,"",0.9993,0.9993
"Set2_LogNormal / combined","RV3",0.9,180,"",0.9993,0.9993
"Set2_LogNormal / combined","RV3",0.95,330,"",0.9993,0.9993
"Set2_LogNormal / location","SMD",0.8,62,"",1,1
"Set2_LogNormal / location","SMD",0.9,134,"",1,1
"Set2_LogNormal / location","SMD",0.95,215,"",1,1
"Set2_LogNormal / shape","SMD",0.8,NA,"blind (plateau 0.499)",0.5091,0.497
"Set2_LogNormal / shape","SMD",0.9,NA,"blind (plateau 0.499)",0.5091,0.497
"Set2_LogNormal / shape","SMD",0.95,NA,"blind (plateau 0.499)",0.5091,0.497
"Set2_LogNormal / combined","SMD",0.8,266,"",0.9938,0.9938
"Set2_LogNormal / combined","SMD",0.9,529,"",0.9938,0.9938
"Set2_LogNormal / combined","SMD",0.95,853,"",0.9938,0.9938
"Set2_LogNormal / location","SMD_log",0.8,59,"",1,1
"Set2_LogNormal / location","SMD_log",0.9,122,"",1,1
"Set2_LogNormal / location","SMD_log",0.95,196,"",1,1
"Set2_LogNormal / shape","SMD_log",0.8,100,"",0.9998,0.9998
"Set2_LogNormal / shape","SMD_log",0.9,225,"",0.9998,0.9998
"Set2_LogNormal / shape","SMD_log",0.95,398,"",0.9998,0.9998
"Set2_LogNormal / combined","SMD_log",0.8,NA,"blind (plateau 0.512)",0.5152,0.5069
"Set2_LogNormal / combined","SMD_log",0.9,NA,"blind (plateau 0.512)",0.5152,0.5069
"Set2_LogNormal / combined","SMD_log",0.95,NA,"blind (plateau 0.512)",0.5152,0.5069
"Set2_LogNormal / location","W1",0.8,60,"",1,1
"Set2_LogNormal / location","W1",0.9,129,"",1,1
"Set2_LogNormal / location","W1",0.95,204,"",1,1
"Set2_LogNormal / shape","W1",0.8,25,"<=25",1,1
"Set2_LogNormal / shape","W1",0.9,32,"",1,1
"Set2_LogNormal / shape","W1",0.95,58,"",1,1
"Set2_LogNormal / combined","W1",0.8,26,"",1,1
"Set2_LogNormal / combined","W1",0.9,60,"",1,1
"Set2_LogNormal / combined","W1",0.95,101,"",1,1
"Set3_Mixture / shape_sym","KS",0.8,184,"",0.9761,0.9761
"Set3_Mixture / shape_sym","KS",0.9,716,"",0.9761,0.9761
"Set3_Mixture / shape_sym","KS",0.95,1320,"",0.9761,0.9761
"Set3_Mixture / shape_skew","KS",0.8,440,"",0.9803,0.9803
"Set3_Mixture / shape_skew","KS",0.9,905,"",0.9803,0.9803
"Set3_Mixture / shape_skew","KS",0.95,1472,"",0.9803,0.9803
"Set3_Mixture / combined","KS",0.8,253,"",0.9889,0.9889
"Set3_Mixture / combined","KS",0.9,550,"",0.9889,0.9889
"Set3_Mixture / combined","KS",0.95,973,"",0.9889,0.9889
"Set3_Mixture / shape_sym","RV1",0.8,NA,"blind (plateau 0.498)",0.5111,0.4948
"Set3_Mixture / shape_sym","RV1",0.9,NA,"blind (plateau 0.498)",0.5111,0.4948
"Set3_Mixture / shape_sym","RV1",0.95,NA,"blind (plateau 0.498)",0.5111,0.4948
"Set3_Mixture / shape_skew","RV1",0.8,NA,"blind (plateau 0.503)",0.5064,0.4994
"Set3_Mixture / shape_skew","RV1",0.9,NA,"blind (plateau 0.503)",0.5064,0.4994
"Set3_Mixture / shape_skew","RV1",0.95,NA,"blind (plateau 0.503)",0.5064,0.4994
"Set3_Mixture / combined","RV1",0.8,NA,"blind (plateau 0.502)",0.5084,0.5046
"Set3_Mixture / combined","RV1",0.9,NA,"blind (plateau 0.502)",0.5084,0.5046
"Set3_Mixture / combined","RV1",0.95,NA,"blind (plateau 0.502)",0.5084,0.5046
"Set3_Mixture / shape_sym","RV2",0.8,NA,"blind (plateau 0.449)",0.4579,0.4466
"Set3_Mixture / shape_sym","RV2",0.9,NA,"blind (plateau 0.449)",0.4579,0.4466
"Set3_Mixture / shape_sym","RV2",0.95,NA,"blind (plateau 0.449)",0.4579,0.4466
"Set3_Mixture / shape_skew","RV2",0.8,NA,"blind (plateau 0.502)",0.5119,0.5009
"Set3_Mixture / shape_skew","RV2",0.9,NA,"blind (plateau 0.502)",0.5119,0.5009
"Set3_Mixture / shape_skew","RV2",0.95,NA,"blind (plateau 0.502)",0.5119,0.5009
"Set3_Mixture / combined","RV2",0.8,NA,"blind (plateau 0.493)",0.4959,0.4925
"Set3_Mixture / combined","RV2",0.9,NA,"blind (plateau 0.493)",0.4959,0.4925
"Set3_Mixture / combined","RV2",0.95,NA,"blind (plateau 0.493)",0.4959,0.4925
"Set3_Mixture / shape_sym","RV3",0.8,NA,"blind (plateau 0.445)",0.452,0.4439
"Set3_Mixture / shape_sym","RV3",0.9,NA,"blind (plateau 0.445)",0.452,0.4439
"Set3_Mixture / shape_sym","RV3",0.95,NA,"blind (plateau 0.445)",0.452,0.4439
"Set3_Mixture / shape_skew","RV3",0.8,NA,"blind (plateau 0.782)",0.7898,0.7898
"Set3_Mixture / shape_skew","RV3",0.9,NA,"blind (plateau 0.782)",0.7898,0.7898
"Set3_Mixture / shape_skew","RV3",0.95,NA,"blind (plateau 0.782)",0.7898,0.7898
"Set3_Mixture / combined","RV3",0.8,NA,"blind (plateau 0.775)",0.7837,0.7837
"Set3_Mixture / combined","RV3",0.9,NA,"blind (plateau 0.775)",0.7837,0.7837
"Set3_Mixture / combined","RV3",0.95,NA,"blind (plateau 0.775)",0.7837,0.7837
"Set3_Mixture / shape_sym","SMD",0.8,NA,"blind (plateau 0.499)",0.5108,0.4948
"Set3_Mixture / shape_sym","SMD",0.9,NA,"blind (plateau 0.499)",0.5108,0.4948
"Set3_Mixture / shape_sym","SMD",0.95,NA,"blind (plateau 0.499)",0.5108,0.4948
"Set3_Mixture / shape_skew","SMD",0.8,NA,"blind (plateau 0.502)",0.5067,0.4993
"Set3_Mixture / shape_skew","SMD",0.9,NA,"blind (plateau 0.502)",0.5067,0.4993
"Set3_Mixture / shape_skew","SMD",0.95,NA,"blind (plateau 0.502)",0.5067,0.4993
"Set3_Mixture / combined","SMD",0.8,NA,"blind (plateau 0.502)",0.5087,0.5042
"Set3_Mixture / combined","SMD",0.9,NA,"blind (plateau 0.502)",0.5087,0.5042
"Set3_Mixture / combined","SMD",0.95,NA,"blind (plateau 0.502)",0.5087,0.5042
"Set3_Mixture / shape_sym","W1",0.8,204,"",0.9849,0.9849
"Set3_Mixture / shape_sym","W1",0.9,690,"",0.9849,0.9849
"Set3_Mixture / shape_sym","W1",0.95,1199,"",0.9849,0.9849
