"set","n","seed","reps","methods","elapsed_s"
"Set1_Gaussian",25,20261711,10000,"W1|SMD|KS|RV1|RV2|RV3",43
"Set1_Gaussian",50,20262711,10000,"W1|SMD|KS|RV1|RV2|RV3",40.9
"Set1_Gaussian",75,20263711,10000,"W1|SMD|KS|RV1|RV2|RV3",47.3
"Set1_Gaussian",100,20264711,10000,"W1|SMD|KS|RV1|RV2|RV3",44.6
"Set2_LogNormal",25,20265711,10000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",58.2
"Set2_LogNormal",50,20266711,10000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",54
"Set2_LogNormal",75,20267711,10000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",60.7
"Set2_LogNormal",100,20268711,10000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",50
"Set3_Mixture",25,20269711,10000,"W1|SMD|KS|RV1|RV2|RV3",37.2
"Set3_Mixture",50,20270711,10000,"W1|SMD|KS|RV1|RV2|RV3",38.6
"Set3_Mixture",75,20271711,10000,"W1|SMD|KS|RV1|RV2|RV3",40.4
"Set3_Mixture",100,20272711,10000,"W1|SMD|KS|RV1|RV2|RV3",40.8
"Set4_Extremes",25,20273711,10000,"W1|SMD|KS|RV1|RV2|RV3",37.8
"Set4_Extremes",50,20274711,10000,"W1|SMD|KS|RV1|RV2|RV3",39.7
"Set4_Extremes",75,20275711,10000,"W1|SMD|KS|RV1|RV2|RV3",42.2
"Set4_Extremes",100,20276711,10000,"W1|SMD|KS|RV1|RV2|RV3",42.4
