"set","n","seed","reps","methods","elapsed_s"
"Set1_Gaussian",150,66001000,3000,"W1|SMD|KS|RV1|RV2|RV3",24.6
"Set1_Gaussian",200,66002000,3000,"W1|SMD|KS|RV1|RV2|RV3",28.6
"Set1_Gaussian",300,66003000,3000,"W1|SMD|KS|RV1|RV2|RV3",27.1
"Set1_Gaussian",400,66004000,3000,"W1|SMD|KS|RV1|RV2|RV3",30.1
"Set1_Gaussian",600,66005000,3000,"W1|SMD|KS|RV1|RV2|RV3",30.8
"Set1_Gaussian",1000,66006000,3000,"W1|SMD|KS|RV1|RV2|RV3",37
"Set1_Gaussian",1500,66007000,3000,"W1|SMD|KS|RV1|RV2|RV3",46.2
"Set1_Gaussian",2000,66008000,3000,"W1|SMD|KS|RV1|RV2|RV3",57.8
"Set2_LogNormal",150,66009000,3000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",18.4
"Set2_LogNormal",200,66010000,3000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",19.6
"Set2_LogNormal",300,66011000,3000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",22.1
"Set2_LogNormal",400,66012000,3000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",24.4
"Set2_LogNormal",600,66013000,3000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",29.1
"Set2_LogNormal",1000,66014000,3000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",39.4
"Set2_LogNormal",1500,66015000,3000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",52.8
"Set2_LogNormal",2000,66016000,3000,"W1|SMD|SMD_log|KS|RV1|RV2|RV3",67.9
"Set3_Mixture",150,66017000,3000,"W1|SMD|KS|RV1|RV2|RV3",17.1
"Set3_Mixture",200,66018000,3000,"W1|SMD|KS|RV1|RV2|RV3",18
"Set3_Mixture",300,66019000,3000,"W1|SMD|KS|RV1|RV2|RV3",19.9
"Set3_Mixture",400,66020000,3000,"W1|SMD|KS|RV1|RV2|RV3",21.7
"Set3_Mixture",600,66021000,3000,"W1|SMD|KS|RV1|RV2|RV3",25.7
"Set3_Mixture",1000,66022000,3000,"W1|SMD|KS|RV1|RV2|RV3",34.7
"Set3_Mixture",1500,66023000,3000,"W1|SMD|KS|RV1|RV2|RV3",46.2
"Set3_Mixture",2000,66024000,3000,"W1|SMD|KS|RV1|RV2|RV3",58.9
"Set4_Extremes",150,66025000,3000,"W1|SMD|KS|RV1|RV2|RV3",18
"Set4_Extremes",200,66026000,3000,"W1|SMD|KS|RV1|RV2|RV3",19.4
"Set4_Extremes",300,66027000,3000,"W1|SMD|KS|RV1|RV2|RV3",20.6
"Set4_Extremes",400,66028000,3000,"W1|SMD|KS|RV1|RV2|RV3",22.7
"Set4_Extremes",600,66029000,3000,"W1|SMD|KS|RV1|RV2|RV3",27.2
"Set4_Extremes",1000,66030000,3000,"W1|SMD|KS|RV1|RV2|RV3",36.1
"Set4_Extremes",1500,66031000,3000,"W1|SMD|KS|RV1|RV2|RV3",47.3
"Set4_Extremes",2000,66032000,3000,"W1|SMD|KS|RV1|RV2|RV3",58.8
