"set","n","method","measure","type","value","mc_se"
"Set1_Gaussian",25,"W1","precision_at_k","overall",0.757033333333368,0.00245629529078819
"Set1_Gaussian",25,"W1","false_pooling_at_k","overall",0.5749,0.00494358159637322
"Set1_Gaussian",25,"W1","auc","location",0.87041666666666,0.00224845239986172
"Set1_Gaussian",25,"W1","auc","scale",0.93238333333333,0.00140861191524779
"Set1_Gaussian",25,"W1","auc","combined",0.864316666666659,0.00219034572993992
"Set1_Gaussian",25,"SMD","precision_at_k","overall",0.499933333333335,0.00246666657657637
"Set1_Gaussian",25,"SMD","false_pooling_at_k","overall",0.9359,0.00244930990280936
"Set1_Gaussian",25,"SMD","auc","location",0.880366666666662,0.00219517346821492
"Set1_Gaussian",25,"SMD","auc","scale",0.499500000000001,0.00295352473044209
"Set1_Gaussian",25,"SMD","auc","combined",0.753383333333327,0.00287082446055693
"Set1_Gaussian",25,"KS","precision_at_k","overall",0.596533333333346,0.00259686101112641
"Set1_Gaussian",25,"KS","false_pooling_at_k","overall",0.833,0.00372975870533202
"Set1_Gaussian",25,"KS","auc","location",0.842950000000002,0.00234424277634398
"Set1_Gaussian",25,"KS","auc","scale",0.71891666666667,0.00255009136546501
"Set1_Gaussian",25,"KS","auc","combined",0.751841666666669,0.00266101113692336
"Set1_Gaussian",50,"W1","precision_at_k","overall",0.889766666666677,0.00188484455592413
"Set1_Gaussian",50,"W1","false_pooling_at_k","overall",0.2856,0.00451699723267571
"Set1_Gaussian",50,"W1","auc","location",0.951716666666666,0.00134533547034859
"Set1_Gaussian",50,"W1","auc","scale",0.980316666666667,0.000743401323497645
"Set1_Gaussian",50,"W1","auc","combined",0.943116666666667,0.00146136761478954
"Set1_Gaussian",50,"SMD","precision_at_k","overall",0.553866666666674,0.00235957962357665
"Set1_Gaussian",50,"SMD","false_pooling_at_k","overall",0.9074,0.00289871074790156
"Set1_Gaussian",50,"SMD","auc","location",0.955283333333332,0.0013122448005868
"Set1_Gaussian",50,"SMD","auc","scale",0.505566666666667,0.00296014472243798
"Set1_Gaussian",50,"SMD","auc","combined",0.862016666666663,0.00232443636537236
"Set1_Gaussian",50,"KS","precision_at_k","overall",0.743066666666705,0.00239691320011399
"Set1_Gaussian",50,"KS","false_pooling_at_k","overall",0.6173,0.00486045995765833
"Set1_Gaussian",50,"KS","auc","location",0.933883333333332,0.00153213640783752
"Set1_Gaussian",50,"KS","auc","scale",0.837400000000003,0.00206458540363069
"Set1_Gaussian",50,"KS","auc","combined",0.871458333333335,0.00210969879202036
"Set1_Gaussian",75,"W1","precision_at_k","overall",0.943066666666668,0.00141746001315345
"Set1_Gaussian",75,"W1","false_pooling_at_k","overall",0.152,0.0035902089075707
"Set1_Gaussian",75,"W1","auc","location",0.976283333333332,0.000904081347741427
"Set1_Gaussian",75,"W1","auc","scale",0.993366666666667,0.000423004990777203
"Set1_Gaussian",75,"W1","auc","combined",0.971733333333334,0.00101548543400037
"Set1_Gaussian",75,"SMD","precision_at_k","overall",0.573566666666674,0.00225903497095505
"Set1_Gaussian",75,"SMD","false_pooling_at_k","overall",0.8996,0.00300532593906218
"Set1_Gaussian",75,"SMD","auc","location",0.97865,0.00085973250038756
"Set1_Gaussian",75,"SMD","auc","scale",0.49895,0.00295571964822253
"Set1_Gaussian",75,"SMD","auc","combined",0.917483333333331,0.00181718340510196
