"set","n","method","measure","type","value","mc_se"
"Set1_Gaussian",150,"W1","precision_at_k","overall",0.992666666666666,0.000892686332867736
"Set1_Gaussian",150,"W1","false_pooling_at_k","overall",0.022,0.00267805899860328
"Set1_Gaussian",150,"W1","harm_maxW1","overall",0.101246333333333,0.012375293392525
"Set1_Gaussian",150,"W1","auc","location",0.997888888888889,0.000435743534643138
"Set1_Gaussian",150,"W1","auc","scale",0.999666666666667,0.000135946612614614
"Set1_Gaussian",150,"W1","auc","combined",0.996222222222223,0.000624743568793099
"Set1_Gaussian",150,"SMD","precision_at_k","overall",0.598888888888897,0.00375806403184982
"Set1_Gaussian",150,"SMD","false_pooling_at_k","overall",0.895666666666667,0.00558115546247337
"Set1_Gaussian",150,"SMD","harm_maxW1","overall",6.13872866666654,0.0464624528782092
"Set1_Gaussian",150,"SMD","auc","location",0.997777777777778,0.000435559334828295
"Set1_Gaussian",150,"SMD","auc","scale",0.503833333333332,0.00536489877713362
"Set1_Gaussian",150,"SMD","auc","combined",0.978555555555556,0.00163708438007578
"Set1_Gaussian",150,"KS","precision_at_k","overall",0.942111111111108,0.00245079897948789
"Set1_Gaussian",150,"KS","false_pooling_at_k","overall",0.165333333333333,0.00678228629647904
"Set1_Gaussian",150,"KS","harm_maxW1","overall",0.797628666666664,0.0331295002449725
"Set1_Gaussian",150,"KS","auc","location",0.994416666666668,0.000693628965639651
"Set1_Gaussian",150,"KS","auc","scale",0.970611111111111,0.00154931253837387
"Set1_Gaussian",150,"KS","auc","combined",0.983916666666667,0.00131856783745642
"Set1_Gaussian",150,"RV1","precision_at_k","overall",0.676888888888902,0.00377970321302988
"Set1_Gaussian",150,"RV1","false_pooling_at_k","overall",0.793333333333333,0.00739268908123775
"Set1_Gaussian",150,"RV1","harm_maxW1","overall",5.17057266666662,0.0547167384750866
"Set1_Gaussian",150,"RV1","auc","location",0.997944444444445,0.000425076850955046
"Set1_Gaussian",150,"RV1","auc","scale",0.622999999999999,0.00521869502632366
"Set1_Gaussian",150,"RV1","auc","combined",0.985222222222223,0.00132917716432202
"Set1_Gaussian",150,"RV2","precision_at_k","overall",0.993333333333333,0.000852012867230226
"Set1_Gaussian",150,"RV2","false_pooling_at_k","overall",0.02,0.00255603860169077
"Set1_Gaussian",150,"RV2","harm_maxW1","overall",0.093129,0.0119515599031953
"Set1_Gaussian",150,"RV2","auc","location",0.997777777777778,0.000442588718408234
"Set1_Gaussian",150,"RV2","auc","scale",0.999888888888889,7.8541226625457e-05
"Set1_Gaussian",150,"RV2","auc","combined",0.997388888888889,0.000485161506348508
"Set1_Gaussian",150,"RV3","precision_at_k","overall",0.760333333333339,0.00397230691440277
"Set1_Gaussian",150,"RV3","false_pooling_at_k","overall",0.610333333333333,0.00890368005481545
"Set1_Gaussian",150,"RV3","harm_maxW1","overall",2.93824733333335,0.0436811361300127
"Set1_Gaussian",150,"RV3","auc","location",0.877666666666668,0.00301218308101827
"Set1_Gaussian",150,"RV3","auc","scale",0.918055555555558,0.0023894002467328
"Set1_Gaussian",150,"RV3","auc","combined",0.859055555555557,0.00336720919109853
"Set1_Gaussian",200,"W1","precision_at_k","overall",0.996777777777778,0.000595452589219507
"Set1_Gaussian",200,"W1","false_pooling_at_k","overall",0.00966666666666667,0.00178635776765856
"Set1_Gaussian",200,"W1","harm_maxW1","overall",0.0442836666666667,0.00820959124438988
"Set1_Gaussian",200,"W1","auc","location",0.998944444444445,0.000253857077186513
"Set1_Gaussian",200,"W1","auc","scale",0.999833333333333,9.61769203081523e-05
"Set1_Gaussian",200,"W1","auc","combined",0.998722222222222,0.000308439254412289
"Set1_Gaussian",200,"SMD","precision_at_k","overall",0.601444444444452,0.00380730886887828
"Set1_Gaussian",200,"SMD","false_pooling_at_k","overall",0.885666666666667,0.00580979696209263
"Set1_Gaussian",200,"SMD","harm_maxW1","overall",6.07835466666655,0.0476901410690095
"Set1_Gaussian",200,"SMD","auc","location",0.999111111111111,0.000235142895001685
"Set1_Gaussian",200,"SMD","auc","scale",0.501,0.00538799878101305
"Set1_Gaussian",200,"SMD","auc","combined",0.987333333333334,0.00118461328794421
"Set1_Gaussian",200,"KS","precision_at_k","overall",0.968777777777776,0.00180766429564805
"Set1_Gaussian",200,"KS","false_pooling_at_k","overall",0.092,0.00527686775780229
"Set1_Gaussian",200,"KS","harm_maxW1","overall",0.437448333333334,0.025253263230261
"Set1_Gaussian",200,"KS","auc","location",0.998,0.000395062114197522
"Set1_Gaussian",200,"KS","auc","scale",0.986305555555556,0.000948513972033506
"Set1_Gaussian",200,"KS","auc","combined",0.99325,0.0007931598977861
"Set1_Gaussian",200,"RV1","precision_at_k","overall",0.678444444444459,0.00373547337252718
"Set1_Gaussian",200,"RV1","false_pooling_at_k","overall",0.794333333333333,0.00737942836288577
"Set1_Gaussian",200,"RV1","harm_maxW1","overall",5.17475266666663,0.0546193194152634
"Set1_Gaussian",200,"RV1","auc","location",0.999111111111111,0.000235142895001685
"Set1_Gaussian",200,"RV1","auc","scale",0.620333333333332,0.00520924747533241
"Set1_Gaussian",200,"RV1","auc","combined",0.992000000000001,0.000931426623816526
"Set1_Gaussian",200,"RV2","precision_at_k","overall",0.997666666666666,0.000507389834786326
"Set1_Gaussian",200,"RV2","false_pooling_at_k","overall",0.007,0.00152216950435883
"Set1_Gaussian",200,"RV2","harm_maxW1","overall",0.0332593333333333,0.00725225683064449
"Set1_Gaussian",200,"RV2","auc","location",0.998944444444445,0.000253857077186513
"Set1_Gaussian",200,"RV2","auc","scale",1,0
"Set1_Gaussian",200,"RV2","auc","combined",0.999388888888889,0.000199997427966518
"Set1_Gaussian",200,"RV3","precision_at_k","overall",0.775333333333337,0.00392077719682605
"Set1_Gaussian",200,"RV3","false_pooling_at_k","overall",0.579333333333333,0.00901306870091466
"Set1_Gaussian",200,"RV3","harm_maxW1","overall",2.77085266666667,0.043760582670403
"Set1_Gaussian",200,"RV3","auc","location",0.887055555555556,0.00289278778921099
"Set1_Gaussian",200,"RV3","auc","scale",0.921833333333336,0.00222160894315105
"Set1_Gaussian",200,"RV3","auc","combined",0.867111111111112,0.00323120332029914
"Set1_Gaussian",300,"W1","precision_at_k","overall",0.999444444444444,0.000248244867828551
"Set1_Gaussian",300,"W1","false_pooling_at_k","overall",0.00166666666666667,0.000744734603486121
"Set1_Gaussian",300,"W1","harm_maxW1","overall",0.00758733333333333,0.00340125540742216
"Set1_Gaussian",300,"W1","auc","location",0.999888888888889,7.8541226625457e-05
"Set1_Gaussian",300,"W1","auc","scale",1,0
"Set1_Gaussian",300,"W1","auc","combined",0.999777777777778,0.000136022268813144
"Set1_Gaussian",300,"SMD","precision_at_k","overall",0.605333333333339,0.00368586221214358
"Set1_Gaussian",300,"SMD","false_pooling_at_k","overall",0.892,0.00566674509749644
"Set1_Gaussian",300,"SMD","harm_maxW1","overall",6.1573623333332,0.0469825376628235
"Set1_Gaussian",300,"SMD","auc","location",0.999888888888889,7.8541226625457e-05
"Set1_Gaussian",300,"SMD","auc","scale",0.507722222222223,0.00534274622668892
"Set1_Gaussian",300,"SMD","auc","combined",0.997,0.000530047750003281
"Set1_Gaussian",300,"KS","precision_at_k","overall",0.992777777777778,0.000899874248187536
"Set1_Gaussian",300,"KS","false_pooling_at_k","overall",0.0213333333333333,0.0026380688784426
"Set1_Gaussian",300,"KS","harm_maxW1","overall",0.100381333333333,0.0124257836316922
"Set1_Gaussian",300,"KS","auc","location",0.999722222222222,0.000130190585209956
"Set1_Gaussian",300,"KS","auc","scale",0.996861111111111,0.000445089520287431
"Set1_Gaussian",300,"KS","auc","combined",0.998833333333333,0.000282476919192721
"Set1_Gaussian",300,"RV1","precision_at_k","overall",0.681000000000013,0.0036842222825378
"Set1_Gaussian",300,"RV1","false_pooling_at_k","overall",0.794333333333333,0.00737942836288577
"Set1_Gaussian",300,"RV1","harm_maxW1","overall",5.19684466666662,0.0547654774588024
"Set1_Gaussian",300,"RV1","auc","location",0.999888888888889,7.8541226625457e-05
"Set1_Gaussian",300,"RV1","auc","scale",0.625444444444445,0.00528639024389012
"Set1_Gaussian",300,"RV1","auc","combined",0.9985,0.000363271316487492
"Set1_Gaussian",300,"RV2","precision_at_k","overall",0.999666666666667,0.000192353840616593
"Set1_Gaussian",300,"RV2","false_pooling_at_k","overall",0.001,0.00057706152185014
"Set1_Gaussian",300,"RV2","harm_maxW1","overall",0.00475133333333333,0.00274931891555116
"Set1_Gaussian",300,"RV2","auc","location",0.999888888888889,7.8541226625457e-05
"Set1_Gaussian",300,"RV2","auc","scale",1,0
"Set1_Gaussian",300,"RV2","auc","combined",0.999944444444445,5.55462955239785e-05
"Set1_Gaussian",300,"RV3","precision_at_k","overall",0.78366666666667,0.00381905068677267
"Set1_Gaussian",300,"RV3","false_pooling_at_k","overall",0.567666666666667,0.00904472631283413
"Set1_Gaussian",300,"RV3","harm_maxW1","overall",2.69166533333333,0.0434357157033942
"Set1_Gaussian",300,"RV3","auc","location",0.896500000000002,0.00265859716558959
"Set1_Gaussian",300,"RV3","auc","scale",0.922944444444448,0.00215290764243709
"Set1_Gaussian",300,"RV3","auc","combined",0.868166666666667,0.00313972800976478
"Set1_Gaussian",400,"W1","precision_at_k","overall",0.999888888888889,0.000111092591049289
"Set1_Gaussian",400,"W1","false_pooling_at_k","overall",0.000333333333333333,0.000333277773147376
"Set1_Gaussian",400,"W1","harm_maxW1","overall",0.001418,0.00141776364696894
"Set1_Gaussian",400,"W1","auc","location",1,0
"Set1_Gaussian",400,"W1","auc","scale",1,0
"Set1_Gaussian",400,"W1","auc","combined",0.999944444444445,5.55462955239785e-05
"Set1_Gaussian",400,"SMD","precision_at_k","overall",0.604111111111117,0.00374057443707992
"Set1_Gaussian",400,"SMD","false_pooling_at_k","overall",0.888,0.00575777734894291
"Set1_Gaussian",400,"SMD","harm_maxW1","overall",6.12668799999987,0.0474672277635048
"Set1_Gaussian",400,"SMD","auc","location",1,0
"Set1_Gaussian",400,"SMD","auc","scale",0.4995,0.00544301937131808
"Set1_Gaussian",400,"SMD","auc","combined",0.998777777777778,0.000350654884090308
"Set1_Gaussian",400,"KS","precision_at_k","overall",0.998,0.000519876528550927
"Set1_Gaussian",400,"KS","false_pooling_at_k","overall",0.00533333333333333,0.00132977302435276
"Set1_Gaussian",400,"KS","harm_maxW1","overall",0.025424,0.0063418586713991
"Set1_Gaussian",400,"KS","auc","location",0.999888888888889,0.000111092591049289
"Set1_Gaussian",400,"KS","auc","scale",0.999055555555555,0.000268762979397491
"Set1_Gaussian",400,"KS","auc","combined",0.999777777777778,0.000136022268813144
"Set1_Gaussian",400,"RV1","precision_at_k","overall",0.68155555555557,0.00369519986707079
"Set1_Gaussian",400,"RV1","false_pooling_at_k","overall",0.793,0.00739709402400699
"Set1_Gaussian",400,"RV1","harm_maxW1","overall",5.16865099999995,0.0547084253633118
