"set","n","rule","tau_clin","violation","violation_se","sensitivity","sensitivity_se"
"Set3_Mixture",50,"point",0.7977345,0.001,0.00057706152185014,0.00025,0.000144265380462535
"Set3_Mixture",50,"point",0.972533,0.006,0.00140996453856117,0.004,0.000519829031723145
"Set3_Mixture",50,"point",1.1488105,0.0153333333333333,0.00224337708393857,0.0177777777777777,0.00102720204094512
"Set3_Mixture",50,"point",1.4476065,0.0266666666666667,0.0029414030413821,0.0792857142857133,0.00210437671545386
"Set3_Mixture",50,"point",2.324076,0.017,0.00236015536211779,0.465708333333333,0.0043359814958562
"Set3_Mixture",50,"boot_0.900",0.7977345,0,0,0,0
"Set3_Mixture",50,"boot_0.900",0.972533,0,0,0,0
"Set3_Mixture",50,"boot_0.900",1.1488105,0,0,0,0
"Set3_Mixture",50,"boot_0.900",1.4476065,0,0,0,0
"Set3_Mixture",50,"boot_0.900",2.324076,0,0,0,0
"Set3_Mixture",50,"boot_0.950",0.7977345,0,0,0,0
"Set3_Mixture",50,"boot_0.950",0.972533,0,0,0,0
"Set3_Mixture",50,"boot_0.950",1.1488105,0,0,0,0
"Set3_Mixture",50,"boot_0.950",1.4476065,0,0,0,0
"Set3_Mixture",50,"boot_0.950",2.324076,0,0,0,0
"Set3_Mixture",50,"boot_0.975",0.7977345,0,0,0,0
"Set3_Mixture",50,"boot_0.975",0.972533,0,0,0,0
"Set3_Mixture",50,"boot_0.975",1.1488105,0,0,0,0
"Set3_Mixture",50,"boot_0.975",1.4476065,0,0,0,0
"Set3_Mixture",50,"boot_0.975",2.324076,0,0,0,0
"Set3_Mixture",100,"point",0.7977345,0.011,0.00190429339476178,0.00775,0.000799813346280799
"Set3_Mixture",100,"point",0.972533,0.033,0.00326144139913628,0.0386000000000003,0.00164012601141903
"Set3_Mixture",100,"point",1.1488105,0.0533333333333333,0.00410239315883176,0.108111111111111,0.00257941439106301
"Set3_Mixture",100,"point",1.4476065,0.068,0.00459623033945573,0.279666666666669,0.00373547790282694
"Set3_Mixture",100,"point",2.324076,0.007,0.00152216950435883,0.7605,0.0037589781412861
"Set3_Mixture",100,"boot_0.900",0.7977345,0,0,0,0
"Set3_Mixture",100,"boot_0.900",0.972533,0,0,0,0
"Set3_Mixture",100,"boot_0.900",1.1488105,0,0,0,0
"Set3_Mixture",100,"boot_0.900",1.4476065,0,0,0,0
"Set3_Mixture",100,"boot_0.900",2.324076,0,0,4.16666666666667e-05,4.16597216434221e-05
"Set3_Mixture",100,"boot_0.950",0.7977345,0,0,0,0
"Set3_Mixture",100,"boot_0.950",0.972533,0,0,0,0
"Set3_Mixture",100,"boot_0.950",1.1488105,0,0,0,0
"Set3_Mixture",100,"boot_0.950",1.4476065,0,0,0,0
"Set3_Mixture",100,"boot_0.950",2.324076,0,0,0,0
"Set3_Mixture",100,"boot_0.975",0.7977345,0,0,0,0
"Set3_Mixture",100,"boot_0.975",0.972533,0,0,0,0
"Set3_Mixture",100,"boot_0.975",1.1488105,0,0,0,0
"Set3_Mixture",100,"boot_0.975",1.4476065,0,0,0,0
"Set3_Mixture",100,"boot_0.975",2.324076,0,0,0,0
"Set4_Extremes",50,"point",2.5,0.0653333333333333,0.00451164747769182,0.0829166666666667,0.00263390245256532
"Set4_Extremes",50,"point",3.741481,0.110333333333333,0.00572013662100504,0.30319047619048,0.00349995259659057
"Set4_Extremes",50,"point",5.241481,0.052,0.00405364033925063,0.577458333333333,0.00348584430696602
"Set4_Extremes",50,"boot_0.900",2.5,0,0,0,0
"Set4_Extremes",50,"boot_0.900",3.741481,0,0,0,0
"Set4_Extremes",50,"boot_0.900",5.241481,0,0,0.00266666666666667,0.000350185136220299
"Set4_Extremes",50,"boot_0.950",2.5,0,0,0,0
"Set4_Extremes",50,"boot_0.950",3.741481,0,0,0,0
"Set4_Extremes",50,"boot_0.950",5.241481,0,0,0.000375,0.000124812359163666
"Set4_Extremes",50,"boot_0.975",2.5,0,0,0,0
"Set4_Extremes",50,"boot_0.975",3.741481,0,0,0,0
"Set4_Extremes",50,"boot_0.975",5.241481,0,0,0,0
"Set4_Extremes",100,"point",2.5,0.153333333333333,0.00657830328231179,0.336166666666667,0.00484740384887355
"Set4_Extremes",100,"point",3.741481,0.152333333333333,0.00656068819786687,0.522952380952383,0.00335116274763657
"Set4_Extremes",100,"point",5.241481,0.049,0.00394119271287259,0.748833333333333,0.00276816559127895
"Set4_Extremes",100,"boot_0.900",2.5,0,0,0,0
"Set4_Extremes",100,"boot_0.900",3.741481,0,0,0.000142857142857143,8.24373602643058e-05
"Set4_Extremes",100,"boot_0.900",5.241481,0.000333333333333333,0.000333277773147376,0.168958333333333,0.00261339752879628
"Set4_Extremes",100,"boot_0.950",2.5,0,0,0,0
"Set4_Extremes",100,"boot_0.950",3.741481,0,0,0,0
"Set4_Extremes",100,"boot_0.950",5.241481,0.000333333333333333,0.000333277773147376,0.0513333333333333,0.00157897352967281
"Set4_Extremes",100,"boot_0.975",2.5,0,0,0,0
"Set4_Extremes",100,"boot_0.975",3.741481,0,0,0,0
"Set4_Extremes",100,"boot_0.975",5.241481,0.000333333333333333,0.000333277773147376,0.00941666666666667,0.00065745546251072
