"set","n","tau_clin","method","kind","tau","violation","sensitivity","feasible"
"Set1_Gaussian",25,4.520839,"W1","oracle_best",2.08593778646701,0.0435,0.107,TRUE
"Set1_Gaussian",25,4.520839,"W1_derived","derived_tau_clin",4.520839,0.5765,0.70775,FALSE
"Set1_Gaussian",25,4.520839,"SMD","oracle_best",0,0,0,TRUE
"Set1_Gaussian",25,4.520839,"KS","oracle_best",0.121356783919598,0.049,0.06875,TRUE
"Set1_Gaussian",25,4.520839,"RV1","oracle_best",0.020902394958711,0.042,0.0175,TRUE
"Set1_Gaussian",25,4.520839,"RV2","oracle_best",0.350926839627143,0.05,0.113625,TRUE
"Set1_Gaussian",25,4.520839,"RV3","oracle_best",0.639946874772924,0.046,0.0775,TRUE
"Set1_Gaussian",25,4.8936535,"W1","oracle_best",2.16937529792569,0.048,0.101399999999999,TRUE
"Set1_Gaussian",25,4.8936535,"W1_derived","derived_tau_clin",4.8936535,0.551,0.67049999999999,FALSE
"Set1_Gaussian",25,4.8936535,"SMD","oracle_best",0.00751132169446622,0.0305,0.0183,TRUE
"Set1_Gaussian",25,4.8936535,"KS","oracle_best",0.121356783919598,0.039,0.0586000000000005,TRUE
"Set1_Gaussian",25,4.8936535,"RV1","oracle_best",0.041804789917422,0.0485,0.0363000000000002,TRUE
"Set1_Gaussian",25,4.8936535,"RV2","oracle_best",0.397717084910762,0.05,0.119199999999999,TRUE
"Set1_Gaussian",25,4.8936535,"RV3","oracle_best",0.756300852004365,0.049,0.0938999999999995,TRUE
"Set1_Gaussian",25,5.617227,"W1","oracle_best",3.0037504125125,0.0485,0.277333333333334,TRUE
"Set1_Gaussian",25,5.617227,"W1_derived","derived_tau_clin",5.617227,0.451,0.722416666666667,FALSE
"Set1_Gaussian",25,5.617227,"SMD","oracle_best",0.00751132169446622,0.03,0.0168333333333334,TRUE
"Set1_Gaussian",25,5.617227,"KS","oracle_best",0.121356783919598,0.02,0.054916666666667,TRUE
"Set1_Gaussian",25,5.617227,"RV1","oracle_best",0.041804789917422,0.0385,0.0347499999999999,TRUE
"Set1_Gaussian",25,5.617227,"RV2","oracle_best",0.725248801896095,0.046,0.291083333333334,TRUE
"Set1_Gaussian",25,5.617227,"RV3","oracle_best",1.10536278369869,0.0475,0.210666666666667,TRUE
"Set1_Gaussian",25,7.10665,"W1","oracle_best",3.67125050418194,0.048,0.376214285714289,TRUE
"Set1_Gaussian",25,7.10665,"W1_derived","derived_tau_clin",7.10665,0.514,0.815642857142868,FALSE
"Set1_Gaussian",25,7.10665,"SMD","oracle_best",0.0150226433889324,0.034,0.0287857142857145,TRUE
"Set1_Gaussian",25,7.10665,"KS","oracle_best",0.161809045226131,0.043,0.180428571428572,TRUE
"Set1_Gaussian",25,7.10665,"RV1","oracle_best",0.0836095798348441,0.0495,0.0580714285714284,TRUE
"Set1_Gaussian",25,7.10665,"RV2","oracle_best",1.02938539623962,0.05,0.419285714285718,TRUE
"Set1_Gaussian",25,7.10665,"RV3","oracle_best",1.39624772677729,0.049,0.299285714285717,TRUE
"Set1_Gaussian",25,7.989423,"W1","oracle_best",3.92156303855798,0.048,0.363125,TRUE
