"set","n","tau_clin","n_acceptable","method","tau","violation","violation_se","sensitivity","sensitivity_se"
"Set1_Gaussian",25,4.520839,4,"W1",0,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.0834375114586805,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.166875022917361,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.250312534376042,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.333750045834722,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.417187557293403,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.500625068752083,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.584062580210764,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.667500091669444,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.750937603128125,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.834375114586805,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",0.917812626045486,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"W1",1.00125013750417,0,0,0.000125,0.000124968746092773
"Set1_Gaussian",25,4.520839,4,"W1",1.08468764896285,0,0,0.000875,0.000330139648482275
"Set1_Gaussian",25,4.520839,4,"W1",1.16812516042153,0,0,0.002125,0.000513193128851118
"Set1_Gaussian",25,4.520839,4,"W1",1.25156267188021,0,0,0.003625,0.000668247474742703
"Set1_Gaussian",25,4.520839,4,"W1",1.33500018333889,0,0,0.0065,0.000889592603386516
"Set1_Gaussian",25,4.520839,4,"W1",1.41843769479757,0.001,0.000706753139363385,0.01,0.00109544511501033
"Set1_Gaussian",25,4.520839,4,"W1",1.50187520625625,0.0025,0.00111663557170636,0.016875,0.00143552853942372
"Set1_Gaussian",25,4.520839,4,"W1",1.58531271771493,0.0065,0.00179690706493129,0.022625,0.00170760934862163
"Set1_Gaussian",25,4.520839,4,"W1",1.66875022917361,0.01,0.0022248595461287,0.031125,0.00205395768882906
"Set1_Gaussian",25,4.520839,4,"W1",1.75218774063229,0.013,0.00253288373203351,0.043125,0.0023766030773985
"Set1_Gaussian",25,4.520839,4,"W1",1.83562525209097,0.0185,0.00301311715670002,0.056875,0.00272570948332723
"Set1_Gaussian",25,4.520839,4,"W1",1.91906276354965,0.0245,0.00345685912353975,0.069375,0.00299736212151618
"Set1_Gaussian",25,4.520839,4,"W1",2.00250027500833,0.034,0.00405240669232495,0.086875,0.00331541734740892
"Set1_Gaussian",25,4.520839,4,"W1",2.08593778646701,0.0435,0.00456112650559048,0.107,0.00365212267044797
