"scenario","n","true_W1","mean_est","bias","rmse","sd_est","mean_ci_width","coverage_pct","n_valid"
"S1",50,0,2.46317139314414,2.46317139314414,2.62540564095305,0.908638558474964,4.18747495635506,0,10000
"S1",100,0,1.75931649399989,1.75931649399989,1.87141103035973,0.637985439515764,2.93526556575899,0,10000
"S1",200,0,1.25964987345769,1.25964987345769,1.33635465324732,0.446257627543547,2.07258095962837,0,10000
"S2",50,2,2.98918175170356,0.989181751703565,1.60183214017965,1.25997794498609,4.66859390923403,0.7028,10000
"S2",100,2,2.47195052427036,0.471950524270358,1.12808893698369,1.02467182435191,3.57385536403262,0.9042,10000
"S2",200,2,2.17400920629391,0.174009206293912,0.85484179207592,0.836985866152199,2.83805054830085,0.9472,10000
"S3",50,5,5.1754404189463,0.175440418946297,1.83013883493965,1.82180150143348,6.22043872433618,0.951,10000
"S3",100,5,5.05101016934418,0.0510101693441811,1.36561849706454,1.36473370734275,4.96462525692732,0.9506,10000
"S3",200,5,5.02132323762133,0.021323237621333,0.984648013720356,0.984466326420347,3.77122678360534,0.9482,10000
"S4",50,10,10.0335568744928,0.0335568744928043,1.98083618814368,1.98065096325872,7.51817572843616,0.9425,10000
"S4",100,10,9.98656846931513,-0.0134315306848727,1.42168196288005,1.42168959962915,5.45358711342735,0.9449,10000
"S4",200,10,10.0050809868646,0.00508098686456826,1.00416845857165,1.00420581540569,3.8896277971165,0.9477,10000
"S5",50,3.98942280401433,4.81892553842998,0.829502734415648,1.64317831957035,1.41850675699659,5.64739357318005,0.8623,10000
"S5",100,3.98942280401433,4.38220922917596,0.392786425161637,1.11128385862621,1.03960507719208,4.10183357655893,0.9169,10000
"S5",200,3.98942280401433,4.17651303451974,0.187090230505409,0.769072667276743,0.746006478368769,2.97150118729798,0.9458,10000
"S6",50,12.1532169638188,12.53682809007,0.38361112625117,2.61358037671972,2.58540389895327,9.73460474145967,0.9452,10000
"S6",100,12.1532169638188,12.3627298706341,0.209512906815259,1.86462947316295,1.85291412190098,7.04212023045247,0.9421,10000
"S6",200,12.1532169638188,12.2708485095496,0.117631545730845,1.28835329927046,1.28303611069844,5.03164195869094,0.9465,10000
"S7",50,5.84540861746469,6.4714167874185,0.626008169953812,1.99981340411528,1.89940206255804,6.97343573392667,0.9293,10000
"S7",100,5.84540861746469,6.17317211487168,0.32776349740699,1.44338126122475,1.40574470187121,5.27310099553431,0.9359,10000
"S7",200,5.84540861746469,6.02598604994997,0.180577432485279,1.01166585857906,0.995469083478308,3.87381626190601,0.9445,10000
