"scenario","n","true_W1","mean_est","bias","rmse","sd_est","mean_ci_width","coverage_pct","n_valid"
"S1",50,0,2.46289959788354,2.46289959788354,2.62511561668955,0.908537349669238,4.18728084038647,0,10000
"S1",100,0,1.75938951130569,1.75938951130569,1.87097535389665,0.636504388185857,2.93552332572166,0,10000
"S1",200,0,1.25965231295931,1.25965231295931,1.33635529730088,0.446252669711814,2.07259742753326,0,10000
"S2",50,2,2.98970575965429,0.989705759654289,1.60250510109442,1.26042214148206,4.66900373400005,0.7027,10000
"S2",100,2,2.47158452819698,0.471584528196981,1.12793357584497,1.02466930226368,3.57363776869883,0.9043,10000
"S2",200,2,2.17330690872692,0.173306908726918,0.85538660208921,0.83768796489737,2.83763891794369,0.9473,10000
"S3",50,5,5.17371627788248,0.173716277882479,1.83479922011349,1.82664843288945,6.2186830423338,0.9501,10000
"S3",100,5,5.05088128450311,0.0508812845031121,1.36571594057627,1.3648360351968,4.96464665969305,0.9506,10000
"S3",200,5,5.02015486843576,0.0201548684357578,0.984526154167592,0.984369050590856,3.77096132879297,0.9478,10000
"S4",50,10,10.0336652302436,0.0336652302436153,1.98092975199301,1.980742706353,7.51806044243844,0.9425,10000
"S4",100,10,9.99067558594706,-0.00932441405294426,1.4237160306862,1.42375668554897,5.45400431219789,0.9442,10000
"S4",200,10,10.0035480065738,0.00354800657384935,1.00399016349345,1.00403409727349,3.88905609409113,0.9477,10000
"S5",50,3.98942280401433,4.81815831564659,0.828735511632261,1.64274624733564,1.41845475299129,5.64684712762153,0.863,10000
"S5",100,3.98942280401433,4.3786039292016,0.389181125187271,1.10790130056291,1.03734803835657,4.1007932133825,0.9174,10000
"S5",200,3.98942280401433,4.17794677922795,0.188523975213626,0.771280326099525,0.747922449854891,2.97196748799349,0.9452,10000
"S6",50,12.1532169638188,12.5353072655847,0.382090301765921,2.61210194896021,2.58413454916631,9.74025304095642,0.9461,10000
"S6",100,12.1532169638188,12.3628618940733,0.209644930254457,1.86481083385613,1.85308171446104,7.04191245894133,0.9421,10000
"S6",200,12.1532169638188,12.269611765941,0.116394802122167,1.29012814244145,1.28493111829243,5.03188200395641,0.9457,10000
"S7",50,5.84540861746469,6.46981921308662,0.624410595621931,2.00199330929621,1.90222250632995,6.97264860691571,0.9285,10000
"S7",100,5.84540861746469,6.17088149407766,0.325472876612971,1.4426168111754,1.40549215981317,5.27238093102796,0.936,10000
"S7",200,5.84540861746469,6.02637541237148,0.180966794906792,1.01172849184808,0.995462030829823,3.87391776443585,0.9445,10000
